POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,26 Laps,0:47.667,MONSTER ENERGY KAWASAKI
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,6.701,0:48.076,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
3,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,15.047,0:48.041,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,40.954,0:49.037,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
5,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,44.347,0:49.540,Honda HRC
6,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,51.058,0:49.995,Rocky Mountain ATV/MC - KTM - WPS
7,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,25 Laps,0:49.780,RCH Yoshimura Suzuki Factory Racing
8,41,Trey Canard,"Edmond, OK",KTM 450 SX-F Factory Edit,14.334,0:49.979,"KTM, RED BULL, AKRAPOVIC, MOTOREX, WP, DUNLOP"
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,15.022,0:50.607,Rocky Mountain ATV/MC - KTM - WPS
10,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,27.285,0:50.136,Smartop MotoConcepts Racing Yoshimura
11,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,34.927,0:50.281,Ride365.com/Stewart Racing
12,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,39.658,0:50.552,Rockstar Energy Husqvarna Factory Racing/Bel-Ray/FMF/Scosche/Dunlop/Pro Taper/O'Neal/100%/Shoei 
13,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,43.887,0:51.143,-- none listed --
14,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,58.476,0:50.968,MONSTER ENERGY KAWASAKI
15,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,24 Laps,0:51.814,Smartop Motoconcepts Honda Yoshimura
16,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,3.209,0:50.098,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
17,51,Justin Barcia,"Greenville, FL",Suzuki RM-Z450,23 Laps,0:50.437,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels
18,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,2.463,0:53.065,TPJ/Team3br dsc construction 
19,80,Cade Clason,"Chesterfield, SC",Honda CRF 450,15.090,0:53.320,"K1 Speed, BWR Engines, SSi Decals, Race-Tech Suspension, Freeport Honda Kawasaki, Rekluse Motorsports, Bel-Ray, TuBliss, Works Connection, No-Toil, Evans Waterless Coolant, MotoSeat, Yoshimura, RK-­Excel, Dunlop, FXR, Arai, Dirt Tricks, Pro Taper, WebCams"
20,67,Jimmy Albertson,"Shawnee, OK",Suzuki RM-Z450,18.536,0:53.362,"Suzuki, Merge Racing, Seven, Rekluse, FMF, Bell, Oakley "
21,314,Alex Ray,"Milan, TN",Husqvarna FC450,22 Laps,0:54.189,"FXR, TXS Productions, K1 Speed,NoLeen J6, PRL, Arai, Sidi, Rekluse, 2XU, SSI, X-Brand, Spider Energy Drink, Graham Husky, Vertex, Dedicated Ride, NoToil, Vortex, Evans, Dirt Tricks, Motoseats, WC, Spectro Oils, Killer Custom, Bolt, Bills Pipes, Mobus Brac"
22,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,9.504,0:54.289,TPJ/Ride Red/Cal Coast Plumbing/Fly Racing/Dave Humphrey/Viking Bait/TPJ/Robert Carrico/7deucedeuce.com/Works Connection/Rekluse/Vortex Sprockets/Dunlop/Epoxy It SoCal/SB training/Dirt Rider/Alpinestar/Asterisk/Jim Castillo/Galfer/REC MX/BOLT/Acerbis/Moto
