POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF 450,20 Laps,1:01.859,Honda HRC
2,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,16.200,1:03.110,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
3,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,17.598,1:03.193,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,25.990,1:03.516,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
5,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,28.869,1:02.111,MONSTER ENERGY KAWASAKI
6,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,30.386,1:03.823,Honda HRC
7,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,41.678,1:04.535,Rocky Mountain ATV/MC - KTM - WPS
8,32,Weston Peick,"Menifee, CA",Suzuki RM-Z450,47.657,1:04.648,Autotrader/JGR/Suzuki/Bad Boy Offroad/Wienershnitzel/Monster/KMC wheels/Toyota/Fly Racing/Scott
9,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,50.626,1:04.911,MONSTER ENERGY KAWASAKI
10,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,57.229,1:05.052,Monster Energy-Yamalube-Chaparral-Yamaha Financial Services-Factory Yamaha 
11,12,Jake Weimer,"Huntington Beach , CA",Suzuki RM-Z450,58.889,1:04.460,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
12,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,1:04.727,1:04.516,RCH Suzuki Factory Racing
13,15,Dean Wilson,"Clermont, FL",Yamaha YZ450F,19 Laps,1:04.893, 
14,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,3.015,1:04.383,Rocky Mountain ATV/MC - KTM - WPS
15,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,5.747,1:05.296,Smartop/MotoConcepts/Honda
16,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,7.624,1:04.583,RCH Suzuki Factory Racing
17,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,28.338,1:05.417,Smartop Motoconcepts Honda
18,67,Jimmy Albertson,"Shawnee, OK",Suzuki RM-Z450,43.562,1:07.446,Suzuki/FMF/Merge Racing/Rekluse/Seven/Acerbis/Bell Helmets/180 Decals/Oakley
19,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,1:05.367,1:06.158,Team3br Suzuki TPJ milestonemx
20,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,13 Laps,1:04.419,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
21,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,10 Laps,1:05.809,Smartop MotoConcepts Racing
22,41,Trey Canard,"Edmond, OK",KTM 450 SX-F Factory Edit,DNS,,"KTM, RED BULL, AKRAPOVIC, MOTOREX, WP, DUNLOP"
