POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,19 Laps,1:05.906,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
2,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,1.854,1:05.215,MONSTER ENERGY KAWASAKI
3,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,2.608,1:06.019,MONSTER ENERGY KAWASAKI
4,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,5.469,1:05.862,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
5,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,7.296,1:06.873,Rockstar Energy Husqvarna Factory Racing/Bel-Ray/FMF/Scosche/Dunlop/Pro Taper/O'Neal/100%/Shoei 
6,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,9.829,1:06.183,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,10.383,1:06.349,Rocky Mountain ATV/MC - KTM - WPS
8,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,11.362,1:06.651,Rocky Mountain ATV/MC - KTM - WPS
9,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,21.796,1:07.379,Smartop/MotoConcepts/Honda/Yoshimura
10,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,24.851,1:07.304,Monster Energy-Yamalube-Chaparral-Yamaha Financial Services-Factory Yamaha 
11,48,Christian Craig,"Corona, CA",Honda CRF 450,27.338,1:07.540,GEICO Honda 
12,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,41.860,1:07.560,Ride365.com / Stewart Racing
13,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,49.010,1:08.070,RCH Yoshimura Suzuki Factory Racing
14,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,1:08.642,1:08.762,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
15,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,18 Laps,1:09.115,Smartop Motoconcepts
16,314,Alex Ray,"Milan, TN",Yamaha YZ450F,33.001,1:11.356,"FXR, TXS Productions, K1 Speed,NoLeen J6, PRL, Arai, Sidi, Rekluse, 2XU, SSI, X-Brand, Spider Energy Drink, Graham Husky, Vertex, Dedicated Ride, NoToil, Vortex, Evans, Dirt Tricks, Motoseats, WC, Spectro Oils, Killer Custom, Bolt, Bills Pipes, Mobus Brac"
17,151,Dakota Tedder,"Surfside, CA",Kawasaki KX 450F,1:02.668,1:11.570,Team Tedder/Monster Energy/Kawasaki/Lucas Oil/Thor
18,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,17 Laps,1:11.545,TPJ/FlyRacing/RideRed/CalCoastPlumbing/TokyoMods/VikingBait/RobCarrico/ScottGoggles/Magik/AlpineStars/Rekluse/PulpMX/RMATV/MC/EpoxyIt/MotoSeat/Dunlop/DirtRiderMag/Dubya/Renthal/Galfer/ProCircuit/RecMX/WestinPeick
19,606,Ronnie Stewart,"Princeton, NJ",Suzuki RM-Z450,39.844,1:12.051,MicroBilt/PRBC/Yoshimura/Suzuki Racing/Liberty Elevator/H&S Trucking/ISC Racers Tape/RG3/Hinson Clutch Components/Strikt/DeCal Works/Hellbound Racing/Motostuff.com/Novik/Sunstar/6D Helmets/DT1 Filters/VP Fuels/Matrix/VonZipper/Works Connection
20,76,Scott Champion,"Orange, CA",Yamaha YZ250F,16 Laps,1:11.564,Ride Motorsports - Home Depot - Yamaha
21,51,Justin Barcia,"Greenville, FL",Suzuki RM-Z450,15 Laps,1:06.850,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels
22,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,10 Laps,1:05.779,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
