POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,24 Laps,0:52.344,MONSTER ENERGY KAWASAKI
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,8.459,0:52.782,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
3,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,10.324,0:52.984,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,12.361,0:53.165,Rocky Mounatin ATV/MC - KTM - WPS
5,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,15.016,0:53.222,Rocky Mountain ATV/MC - KTM - WPS
6,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,26.399,0:53.623,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
7,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,29.577,0:53.616,RCH Yoshimura Suzuki Factory Racing
8,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,31.472,0:53.857,MONSTER ENERGY KAWASAKI
9,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,33.192,0:54.210,Rockstar Energy Husqvarna Factory Racing/Bel-Ray/FMF/Scosche/Dunlop/Pro Taper/O'Neal/100%/Shoei 
10,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,46.623,0:53.854,Honda HRC
11,41,Trey Canard,"Edmond, OK",KTM 450 SX-F Factory Edit,50.126,0:53.891,"KTM, RED BULL, AKRAPOVIC, MOTOREX, WP, DUNLOP"
12,51,Justin Barcia,"Greenville, FL",Suzuki RM-Z450,23 Laps,0:54.677,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels
13,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,2.996,0:54.082,Monster Energy-Yamalube-Chaparral-Yamaha Financial Services-Factory Yamaha 
14,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,6.844,0:54.730,Smartop/MotoConcepts/Honda/Yoshimura
15,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,9.233,0:54.496,Ride365.com / Stewart Racing
16,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,22.568,0:55.305,Smartop Motoconcepts
17,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,35.509,0:55.155,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
18,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,38.101,0:54.291,RCH Yoshimura Suzuki Factory Racing
19,11,Kyle Chisholm,"Valrico, FL",Honda CRF 450,22 Laps,0:56.268,RickieFowler.com / Xtreme Powersports/Team Chiz/Motoconcepts/Honda/RickieFowler.com/Pretty Rebels/Sidi Boots 
20,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,17.291,0:56.919,Smartop MotoConcepts Honda Racing
21,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,55.973,0:56.389,No DSC Construction TPJ Racing/Fly Racing/Suzuki 
22,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,7 Laps,0:53.834,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
