POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,20 Laps,1:11.671,MONSTER ENERGY KAWASAKI
2,6,Jeremy Martin,"Millville, MN",Honda CRF 450,17.618,1:11.736,GEICO Honda 
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,26.659,1:12.413,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
4,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,33.638,1:13.620,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
5,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,34.440,1:13.709,Honda HRC
6,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,42.471,1:13.455,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,47.934,1:13.692,Rocky Mountain ATV/MC - KTM - WPS
8,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,57.068,1:14.007,MONSTER ENERGY KAWASAKI
9,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,58.998,1:14.085,Smartop/MotoConcepts/Honda/Yoshimura
10,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,59.655,1:14.161,Smartop MotoConcepts Honda Racing
11,51,Justin Barcia,"Greenville, FL",Suzuki RM-Z450,1:03.431,1:15.140,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels
12,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,1:07.172,1:15.168,Rocky Mountain ATV/MC - KTM - WPS
13,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,1:08.557,1:14.945,Rockstar Energy Husqvarna Factory Racing/Bel-Ray/FMF/Scosche/Dunlop/Pro Taper/O'Neal/100%/Shoei 
14,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,1:09.707,1:14.951,RCH Yoshimura Suzuki Factory Racing
15,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,1:17.433,1:13.787,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
16,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,19 Laps,1:14.322,Ride365.com / Stewart Racing
17,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,7.513,1:14.552,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
18,11,Kyle Chisholm,"Valrico, FL",Honda CRF 450,45.307,1:17.610,Keen's Buildings/Xtreme Powersports/Team Chiz/Motoconcepts/Honda/RickieFowler.com/Pretty Rebels/Sidi Boots 
19,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,1:15.759,1:14.828,Smartop Motoconcepts
20,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,18 Laps,1:18.282,No DSC Construction TPJ Racing/Fly Racing/Suzuki
21,95,Aj Catanzaro,"Reston, VA",Kawasaki KX 450F,12.382,1:19.589,Pilgrim Powersports/East Coast Fiberglass/Complex Building Solutions/Federal Hill Home Theater
22,76,Scott Champion,"Orange, CA",Yamaha YZ450F,17 Laps,1:21.187,Mx culture/Hitch hotel/Bprmx/Dedicated ride co./Champion racing
