POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,27 Laps,0:45.478,MONSTER ENERGY KAWASAKI
2,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,6.386,0:46.021,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,14.002,0:46.121,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
4,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,18.026,0:46.161,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
5,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,20.430,0:46.231,MONSTER ENERGY KAWASAKI
6,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,22.263,0:46.468,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
7,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,34.313,0:46.454,Rocky Mountain ATV/MC - KTM - WPS
8,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,36.771,0:46.229,Rocky Mountain ATV/MC - KTM - WPS
9,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,43.481,0:46.649,Monster Energy-Yamalube-Chaparral-Yamaha Financial Services-Factory Yamaha 
10,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,44.637,0:47.148,Rockstar Energy Husqvarna Factory Racing/Bel-Ray/FMF/Scosche/Dunlop/Pro Taper/O'Neal/100%/Shoei 
11,48,Christian Craig,"Corona, CA",Honda CRF 450,26 Laps,0:47.076,American Honda
12,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,3.128,0:46.703,RCH Yoshimura Suzuki Factory Racing
13,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,3.210,0:47.171,Smartop/MotoConcepts/Honda/Yoshimura
14,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,16.299,0:47.573,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
15,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,25 Laps,0:47.179,Ride365.com / Stewart Racing
16,51,Justin Barcia,"Greenville, FL",Suzuki RM-Z450,7.159,0:47.384,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels
17,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,24 Laps,0:47.979,Smartop Motoconcepts
18,314,Alex Ray,"Milan, TN",Yamaha YZ450F,18.999,0:49.946,"FXR, TXS Productions, K1 Speed,NoLeen J6, PRL, Arai, Sidi, Rekluse, 2XU, SSI, X-Brand, Spider Energy Drink, Graham Husky, Vertex, Dedicated Ride, NoToil, Vortex, Evans, Dirt Tricks, Motoseats, WC, Spectro Oils, Killer Custom, Bolt, Bills Pipes, Mobus Brac"
19,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,23 Laps,0:50.813,TPJ/FlyRacing/RideRed/CalCoastPlumbing/TokyoMods/VikingBait/RobCarrico/ScottGoggles/Magik/AlpineStars/Rekluse/PulpMx/RMATV/MC/EpoxyIt/MotoSeat/Dunlop/DirtRiderMag/Dubya/Renthal/Galfer/Acerbis/ProCircuit/RECMX
20,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,21 Laps,0:49.959,No DSC Construction TPJ Racing/Fly Racing/Suzuki 
21,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,12 Laps,0:46.660,RCH Yoshimura Suzuki Factory Racing
22,941,Angelo Pellegrini,"Bagnalo Mella, Italy",Suzuki RM-Z450,5 Laps,0:50.745,"AL Motorsports, Nikon, Rusty Garage Army, Racesocal Premium Vacation, Hevik. Technomousse, Seven MX, DC shoes, Supercross Cup, Motul, RTech, Tomasin r&D, Alpinestars, BdesignMX,Scott sports, DemTrasporti, Piovani, Trafomec, Hgs, Logica Mx, Lightech Racing"
