POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,21 Laps,0:59.181,MONSTER ENERGY KAWASAKI
2,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,11.817,1:00.230,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
3,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,16.429,1:00.238,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
4,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,22.876,1:01.269,Honda HRC
5,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,23.268,1:00.315,Rocky Mountain ATV/MC - KTM - WPS
6,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,28.851,1:01.228,Smartop/MotoConcepts/Honda
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,30.939,1:01.439,Rocky Mountain ATV/MC - KTM - WPS
8,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,34.445,1:01.200,Monster Energy-Yamalube-Chaparral-Yamaha Financial Services-Factory Yamaha 
9,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,38.651,1:01.425,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
10,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,39.926,1:01.702,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
11,15,Dean Wilson,"Clermont, FL",Yamaha YZ450F,47.070,1:01.798,Yamaha/O'Neal/Shoei/100%/Alpinestars/Toyota Escondido
12,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,58.485,1:01.847,MONSTER ENERGY KAWASAKI
13,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,1:06.020,1:02.635,RCH Yoshimura Suzuki Factory Racing
14,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,20 Laps,1:01.709,Ride365.com/Stewart Racing
15,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,1.946,1:03.127,Smartop MotoConcepts Racing 
16,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,3.064,1:02.851,Smartop Motoconcepts Honda
17,85,Thomas Hahn,"Decatur, TX",Yamaha YZ450F,49.068,1:04.124,CycleTrader Rock River YAMAHA GPI RoostMX
18,377,Christophe Pourcel,"San Antonio, FL",Husqvarna FC450,54.364,1:03.165,"Rockstar Energy Husqvarna Factory Racing, Bel-Ray, Fly, FMF, Scosche"
19,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,19 Laps,1:05.158,Team3br dsc construction 
20,67,Jimmy Albertson,"Shawnee, OK",Suzuki RM-Z450,14.747,1:05.046,Suzuki/FMF/Merge Racing/Rekluse/Seven/Acerbis/Bell Helmets/180 Decals/Oakley 
21,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,20.445,1:02.589,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
22,374,Cody Gilmore,"Omaha, NE",Kawasaki KX 450F,47.860,1:05.931, 
