POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,27 Laps,0:46.753,MONSTER ENERGY KAWASAKI
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,5.850,0:47.032,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
3,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,11.491,0:46.873,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,29.504,0:47.218,Rocky Mounatin ATV/MC - KTM - WPS
5,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,37.775,0:48.117,Honda HRC
6,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,40.449,0:48.399,Rocky Mountain ATV/MC - KTM - WPS
7,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,41.735,0:48.441,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
8,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,42.889,0:48.695,RCH Yoshimura Suzuki Factory Racing
9,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,26 Laps,0:48.624,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
10,51,Justin Barcia,"Greenville, FL",Suzuki RM-Z450,0.630,0:48.780,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels
11,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,1.930,0:48.748,Rockstar Energy Husqvarna Factory Racing/Bel-Ray/FMF/Scosche/Dunlop/Pro Taper/O'Neal/100%/Shoei 
12,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,6.756,0:48.777,Smartop/MotoConcepts/Honda/Yoshimura
13,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,8.711,0:48.723,MONSTER ENERGY KAWASAKI
14,41,Trey Canard,"Edmond, OK",KTM 450 SX-F Factory Edit,16.113,0:49.232,"KTM, RED BULL, AKRAPOVIC, MOTOREX, WP, DUNLOP"
15,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,18.704,0:48.852,RCH Yoshimura Suzuki Factory Racing
16,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,19.954,0:49.500,-- none listed --
17,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,27.023,0:49.602,Smartop Motoconcepts
18,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,32.308,0:49.563,Ride365.com / Stewart Racing
19,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,25 Laps,0:50.152,Smartop MotoConcepts Honda Racing
20,11,Kyle Chisholm,"Valrico, FL",Honda CRF 450,24 Laps,0:51.332,RickieFowler.com / Xtreme Powersports/Team Chiz/Motoconcepts/Honda/RickieFowler.com/Pretty Rebels/Sidi Boots 
21,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,23 Laps,0:51.725,No DSC Construction TPJ Racing/Fly Racing/Suzuki 
22,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,24.527,0:52.183,TPJ/RideRed/CalCoastPlumbing/FlyRacing/DaveHumphrey/VikingBait/RobCarrico/TokyoMods/ScottGoggles/Rekluse
