POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,24 Laps,0:52.151,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,1.633,0:52.117,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,16.288,0:52.979,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
4,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,20.154,0:52.965,Rocky Mountain ATV/MC - KTM - WPS
5,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,22.832,0:53.569,Rocky Mountain ATV/MC - KTM - WPS
6,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,40.028,0:53.125,Smartop/MotoConcepts/Honda/Yoshimura
7,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,42.496,0:53.504,MONSTER ENERGY KAWASAKI
8,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,49.243,0:52.438,MONSTER ENERGY KAWASAKI
9,51,Justin Barcia,"Greenville, FL",Suzuki RM-Z450,23 Laps,0:53.193,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels
10,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,7.786,0:54.186,Rockstar Energy Husqvarna Factory Racing/Bel-Ray/FMF/Scosche/Dunlop/Pro Taper/O'Neal/100%/Shoei 
11,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,10.969,0:54.413,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
12,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,18.954,0:53.822,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
13,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,22 Laps,0:54.666,Ride365.com / Stewart Racing
14,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,31.661,0:54.030,Monster Energy-Yamalube-Chaparral-Yamaha Financial Services-Factory Yamaha 
15,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,21 Laps,0:57.253,-- none listed --
16,80,Cade Clason,"Chesterfield, SC",Honda CRF 450,13.205,0:57.567,"K1 Speed, BWR Engines, SSi Decals, Race-Tech Suspension, Freeport Honda Kawasaki, Rekluse Motorsports, Bel-Ray, TuBliss, Works Connection, No-Toil, Evans Waterless Coolant, MotoSeat, Yoshimura, RK-­Excel, Dunlop, FXR, Arai, Dirt Tricks, Pro Tap"
17,95,Aj Catanzaro,"Reston, VA",Kawasaki KX 450F,26.211,0:58.430,Pilgrim Powersports/East Coast Fiberglass/Complex Building Solutions/Federal Hill Home Theater
18,151,Dakota Tedder,"Surfside, CA",Kawasaki KX 450F,44.002,0:58.177,Team Tedder/Monster Energy/Kawasaki/Lucas Oil/Thor
19,941,Angelo Pellegrini,Italy,Suzuki RM-Z450,20 Laps,0:58.866,"AL Motorsports, Nikon, Rusty Garage Army, Racesocal Premium Vacation, Hevik. Technomousse, Seven MX, DC shoes, Supercross Cup, Motul, RTech, Tomasin r&D, Alpinestars, BdesignMX,Scott sports, DemTrasporti, Piovani, Trafomec, Hgs, Logica Mx, Lightech Racing"
20,606,Ronnie Stewart,"Princeton, NJ",Suzuki RM-Z450,19 Laps,0:58.692,MicroBilt/PRBC/Yoshimura/Suzuki Racing/Liberty Elevator/H&S Trucking/ISC Racers Tape/RG3/Hinson Clutch Components/Strikt/DeCal Works/Hellbound Racing/Motostuff.com/Novik/Sunstar/6D Helmets/DT1 Filters/VP Fuels/Matrix/VonZipper/Works Connection
21,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,17 Laps,0:53.570,Honda HRC
22,240,Bryce Stewart,"Canyon Lake, CA",Honda CRF 450,16 Laps,0:59.231,Moto XXX/Tim Cagle Drywall
