POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,29,Christian Craig,"Temecula, CA",Yamaha YZ250F,1,-,20,1,26
2,38,Austin Forkner,"Richards, MO",Kawasaki KX250,2,-,0,2,23
3,64,Colt Nichols,"Murrieta, CA",Yamaha YZ250F,7,-,0,3,21
4,30,Jo Shimoda,"Menifee, CA",Kawasaki KX250,4,-,0,4,19
5,24,Rj Hampshire,"Minneola, FL",Husqvarna FC 250,3,X,0,5,18
6,18,Jett Lawrence,"Wesley Chapel, FL",Honda CRF250R,6,-,0,6,17
7,42,Michael Mosiman,"Menifee, CA",GASGAS MC 250F,5,-,0,7,16
8,49,Mitchell Oldenburg,"Aledo, TX",Honda CRF250R,9,-,0,8,15
9,115,Max Vohland,"Granite Bay , CA",KTM 250 SX-F,8,-,0,9,14
10,95,Joshua Osby,"Valparaiso, IN",Honda CRF250R,20,-,0,10,13
11,55,John Short,"Pilot Point, TX",Suzuki RM-Z250,12,-,0,11,12
12,241,Joshua Varize,"Perris, CA",KTM 250 SX-F,15,-,0,12,11
13,85,Kevin Moranz,"Topeka, KS",KTM 250 SX-F,18,-,0,13,10
14,76,Grant Harlan,"Justin, TX",Honda CRF250R,11,-,0,14,9
15,99,Hunter Sayles,"Chassell, MI",KTM 250 SX-F,13,-,0,15,8
16,773,Thomas Do,"Murrieta, CA",KTM 250 SX-F,16,-,0,16,7
17,88,Logan Karnow,"Amherst, OH",Kawasaki KX250,10,-,0,17,6
18,604,Max Miller,"Springfield, OR",KTM 250 SX-F,22,-,0,18,5
19,384,Lorenzo Camporese,"Campodarsego, ITA",Kawasaki KX250,14,-,0,19,4
20,116,Tj Albright,"Mount Marion, NY",Kawasaki KX250,17,-,0,20,3
21,122,Jeremy Hand,"Mantua, OH",Honda CRF250R,19,-,0,21,2
22,260,Dylan Woodcock,"Rayleigh, ENG",Kawasaki KX250,21,-,0,22,1
