POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,64,Colt Nichols,"Murrieta, CA",Yamaha YZ250F,3,X,20,1,26
2,42,Michael Mosiman,"Sebastopol, CA",GASGAS MC 250F,2,-,0,2,23
3,30,Jo Shimoda,"Menifee, CA",Kawasaki KX250,6,-,0,3,21
4,18,Jett Lawrence,"Wesley Chapel, FL",Honda CRF250R,4,-,0,4,19
5,29,Christian Craig,"Temecula, CA",Yamaha YZ250F,1,-,0,5,18
6,49,Mitchell Oldenburg,"Aledo, TX",Honda CRF250R,5,-,0,6,17
7,773,Thomas Do,"Murrieta, CA",KTM 250 SX-F,18,-,0,7,16
8,55,John Short,"Pilot Point, TX",Suzuki RM-Z250,14,-,0,8,15
9,95,Joshua Osby,"Valparaiso, IN",Honda CRF250R,7,-,0,9,14
10,76,Grant Harlan,"Justin, TX",Honda CRF250R,19,-,0,10,13
11,241,Joshua Varize,"Perris, CA",KTM 250 SX-F,8,-,0,11,12
12,99,Hunter Sayles,"Chassell, MI",KTM 250 SX-F,12,-,0,12,11
13,122,Jeremy Hand,"Mantua, OH",Honda CRF250R,15,-,0,13,10
14,170,Devin Simonson,"Laurinburg, NC",Kawasaki KX250,17,-,0,14,9
15,85,Kevin Moranz,"Topeka, KS",KTM 250 SX-F,9,-,0,15,8
16,193,Hunter Schlosser,"El Paso, TX",Yamaha YZ250F,20,-,0,16,7
17,185,Wilson Fleming,"Jacksonville, FL",Honda CRF250R,10,-,0,17,6
18,124,Lane Shaw,"Alvin, TX",KTM 250 SX-F,16,-,0,18,5
19,604,Max Miller,"Springfield, OR",KTM 250 SX-F,21,-,0,19,4
20,162,Maxwell Sanford,"Pasadena, MD",Honda CRF250R,13,-,0,20,3
21,384,Lorenzo Camporese,"Campodarsego, ITA",Kawasaki KX250,22,-,0,21,2
