POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,18,Jett Lawrence,"Wesley Chapel, FL",Honda CRF250R,3,-,6,1,26
2,64,Colt Nichols,"Murrieta, CA",Yamaha YZ250F,7,X,16,2,23
3,41,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,4,-,0,3,21
4,31,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,2,-,0,4,19
5,150,Seth Hammaker,"Temecula, CA",Kawasaki KX250,8,-,0,5,18
6,30,Jo Shimoda,"Menifee, CA",Kawasaki KX250,5,-,0,6,17
7,45,Pierce Brown,"Sandy, UT",GASGAS MC 250F,12,-,0,7,16
8,47,Jalek Swoll,"Clermont, FL",Husqvarna FC 250,6,-,0,8,15
9,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,16,-,0,9,14
10,56,Kyle Peters,"Greensboro, NC",Honda CRF250R,14,-,0,10,13
11,48,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,10,-,0,11,12
12,50,Enzo Lopes,"Huntersville, NC",Honda CRF250R,19,-,0,12,11
13,59,Jarrett Frye,"Mechanicsville, MD",Yamaha YZ250F,18,-,0,13,10
14,773,Thomas Do,"Murrieta, CA",KTM 250 SX-F,9,-,0,14,9
15,42,Michael Mosiman,"Minneaola, FL",GASGAS MC 250F,1,-,0,15,8
16,95,Joshua Osby,"Valparaiso, IN",Honda CRF250R,11,-,0,16,7
17,241,Joshua Varize,"Perris, CA",KTM 250 SX-F,17,-,0,17,6
18,72,Coty Schock,"Dover, DE",Honda CRF250R,21,-,0,18,5
19,125,Luke Neese,"Jamestown, NC",Kawasaki KX250,22,-,0,19,4
20,88,Logan Karnow,"Amherst, OH",Kawasaki KX250,15,-,0,20,3
21,90,Dilan Schwartz,"Alpine, CA",Suzuki RM-Z250,20,-,0,21,2
22,914,Geran Stapleton,"Cape Schanck, VIC",Honda CRF250R,13,-,0,22,1
