POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,1,-,26,1,26
2,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,4,-,0,2,23
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,12,-,0,3,21
4,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,7,-,0,4,19
5,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,10,-,0,5,18
6,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,6,-,0,6,17
7,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,3,-,0,7,16
8,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,8,-,0,8,15
9,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,11,-,0,9,14
10,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,5,-,0,10,13
11,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,14,-,0,11,12
12,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,19,-,0,12,11
13,20,Broc Tickle,"Holly, MI",Honda CRF450R,15,-,0,13,10
14,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,9,-,0,14,9
15,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,18,-,0,15,8
16,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,16,-,0,16,7
17,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,21,-,0,17,6
18,805,Carlen Gardner,"Paso Robles, CA",Honda CRF450R,17,-,0,18,5
19,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,2,X,0,19,4
20,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,22,-,0,20,3
21,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,20,-,0,21,2
22,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,13,-,0,22,1
