POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,10,-,11,1,26
2,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,2,-,0,2,23
3,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,3,-,0,3,21
4,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,7,-,0,4,19
5,23,Chase Sexton,"Clermont, FL",Honda CRF450R,4,-,0,5,18
6,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,5,X,14,6,17
7,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,6,-,0,7,16
8,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,8,-,0,8,15
9,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,11,-,0,9,14
10,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,1,-,0,10,13
11,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,9,-,0,11,12
12,20,Broc Tickle,"Holly, MI",Honda CRF450R,12,-,0,12,11
13,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,17,-,0,13,10
14,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,19,-,0,14,9
15,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,14,-,0,15,8
16,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,13,-,0,16,7
17,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,15,-,0,17,6
18,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,18,-,0,18,5
19,81,Justin Starling,"Deland, FL",KTM 450 SX-F,16,-,0,19,4
20,70,Henry Miller,"Rochester, MN",KTM 450 SX-F,21,-,0,20,3
21,43,Fredrik Noren,"Indian Trail, NC",Kawasaki KX450,20,-,0,21,2
22,519,Joshua Cartwright,"Tallahassee, FL",Kawasaki KX450,22,-,0,22,1
