POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,1,X,24,1,26
2,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,3,-,0,2,23
3,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,8,-,0,3,21
4,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,6,-,0,4,19
5,23,Chase Sexton,"Clermont, FL",Honda CRF450R,4,-,0,5,18
6,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,2,-,0,6,17
7,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,15,-,0,7,16
8,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,10,-,0,8,15
9,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,9,-,0,9,14
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,19,-,0,10,13
11,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,7,-,0,11,12
12,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,12,-,0,12,11
13,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,5,-,0,13,10
14,40,Vince Friese,"Menifee, CA",Honda CRF450R,13,-,0,14,9
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,14,-,0,15,8
16,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,17,-,0,16,7
17,20,Broc Tickle,"Holly, MI",Honda CRF450R,11,-,0,17,6
18,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,22,-,0,18,5
19,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,16,-,0,19,4
20,81,Justin Starling,"Deland, FL",KTM 450 SX-F,21,-,0,20,3
21,85,Kevin Moranz,"Topeka, KS",KTM 450 SX-F,20,-,0,21,2
22,848,Joan Cros,"Manlleu, BC",Kawasaki KX450,18,-,0,22,1
