POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,2,-,2,1,26
2,23,Chase Sexton,"Clermont, FL",Honda CRF450R,6,-,4,2,23
3,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,9,-,0,3,21
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,1,-,0,4,19
5,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,5,-,0,5,18
6,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,3,X,6,6,17
7,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,12,-,0,7,16
8,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,4,-,0,8,15
9,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,7,-,0,9,14
10,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,14,-,0,10,13
11,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,8,-,0,11,12
12,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,19,-,0,12,11
13,49,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,15,-,0,13,10
14,20,Broc Tickle,"Holly, MI",Honda CRF450R,10,-,0,14,9
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,17,-,0,15,8
16,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,21,-,0,16,7
17,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,18,-,0,17,6
18,43,Fredrik Noren,"Indian Trail, NC",Kawasaki KX450,20,-,0,18,5
19,85,Kevin Moranz,"Topeka, KS",KTM 450 SX-F,22,-,0,19,4
20,83,Alex Ray,"Milan, TN",Kawasaki KX450,16,-,0,20,3
21,40,Vince Friese,"Menifee, CA",Honda CRF450R,13,-,0,21,2
