POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,10,-,7,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,2,X,19,2,23
3,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,1,-,0,3,21
4,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,3,-,0,4,19
5,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,6,-,0,5,18
6,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,5,-,0,6,17
7,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,12,-,0,7,16
8,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,9,-,0,8,15
9,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,7,-,0,9,14
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,11,-,0,10,13
11,20,Broc Tickle,"Holly, MI",Honda CRF450R,13,-,0,11,12
12,40,Vince Friese,"Menifee, CA",Honda CRF450R,15,-,0,12,11
13,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,14,-,0,13,10
14,49,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,17,-,0,14,9
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,18,-,0,15,8
16,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,16,-,0,16,7
17,81,Justin Starling,"Deland, FL",KTM 450 SX-F,19,-,0,17,6
18,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,20,-,0,18,5
19,83,Alex Ray,"Milan, TN",Kawasaki KX450,22,-,0,19,4
20,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,21,-,0,20,3
21,23,Chase Sexton,"Clermont, FL",Honda CRF450R,4,-,0,21,2
22,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,8,-,0,22,1
