POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,11,-,22,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,2,-,0,2,23
3,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,14,X,1,3,21
4,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,8,-,0,4,19
5,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,1,-,0,5,18
6,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,16,-,0,6,17
7,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,5,-,0,7,16
8,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,4,-,0,8,15
9,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,10,-,0,9,14
10,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,6,-,0,10,13
11,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,13,-,2,11,12
12,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,19,-,0,12,11
13,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,7,-,0,13,10
14,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,15,-,0,14,9
15,40,Vince Friese,"Menifee, CA",Honda CRF450R,12,-,0,15,8
16,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,9,-,0,16,7
17,12,Shane Mcelrath,"Canyon Lake, CA",Honda CRF450R,3,-,0,17,6
18,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,17,-,0,18,5
19,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,20,-,0,19,4
20,81,Justin Starling,"Deland, FL",KTM 450 SX-F,21,-,0,20,3
21,43,Fredrik Noren,"Indian Trail, NC",Kawasaki KX450,22,-,0,21,2
22,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,18,-,0,22,1
