POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,5,-,3,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,1,-,23,2,23
3,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,2,-,0,3,21
4,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,3,-,0,4,19
5,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,4,-,0,5,18
6,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,6,-,0,6,17
7,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,11,-,0,7,16
8,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,9,-,0,8,15
9,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,7,-,0,9,14
10,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,10,-,0,10,13
11,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,12,-,0,11,12
12,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ250F,17,-,0,12,11
13,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,16,-,0,13,10
14,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,15,-,0,14,9
15,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,13,-,0,15,8
16,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,8,-,0,16,7
17,20,Broc Tickle,"Holly, MI",Honda CRF450R,20,-,0,17,6
18,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,19,-,0,18,5
19,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,18,-,0,19,4
20,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,14,-,0,20,3
21,805,Carlen Gardner,"Paso Robles, CA",Honda CRF450R,22,-,0,21,2
22,981,Austin Politelli,"Murrieta, CA",Honda CRF450R,21,-,0,22,1
