POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,8,-,14,1,26
2,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,1,-,0,2,23
3,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,2,-,3,3,21
4,94,Ken Roczen,"Clermont, FL",Honda CRF 450,6,-,0,4,19
5,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,10,-,0,5,18
6,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,7,-,0,6,17
7,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,4,-,0,7,16
8,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,18,-,0,8,15
9,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,14,-,0,9,14
10,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,12,-,0,10,13
11,6,Jeremy Martin,"Carlsbad, CA",Honda CRF 450,11,-,0,11,12
12,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,5,-,0,12,11
13,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,9,-,0,13,10
14,69,Tyler Bowers,"lake elsinore, ca",Kawasaki KX 450F,19,-,0,14,9
15,22,Chad Reed,"Dade City, FL",Husqvarna FC450,15,-,0,15,8
16,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,16,-,0,16,7
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,13,-,0,17,6
18,91,Alex Ray,"Milan, TN",Yamaha YZ450F,21,-,0,18,5
19,58,Matthew Bisceglia,"Weatherford, TX",Suzuki RM-Z450,22,-,0,19,4
20,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,20,-,0,20,3
21,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,17,-,0,21,2
22,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,3,X,7,22,1
