POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,2,X,21,1,26
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,1,-,0,2,23
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,5,-,0,3,21
4,32,Christian Craig,"Orange, CA",Honda CRF 450,7,-,0,4,19
5,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,3,-,0,5,18
6,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,9,-,0,6,17
7,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,11,-,0,7,16
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,8,-,0,8,15
9,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,10,-,0,9,14
10,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,13,-,0,10,13
11,22,Chad Reed,"Dade City, FL",Husqvarna FC450,4,-,0,11,12
12,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,14,-,0,12,11
13,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,12,-,0,13,10
14,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,15,-,0,14,9
15,91,Alex Ray,"Milan, TN",Yamaha YZ450F,16,-,0,15,8
16,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,20,-,0,16,7
17,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,22,-,0,17,6
18,330,Cade Autenrieth,"Hemet, CA",KTM 450 SX-F Factory Edit,18,-,0,18,5
19,751,Joshua Hill,"Yoncalla, OR",Yamaha YZ450F,21,-,0,19,4
20,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,6,-,0,20,3
21,981,Austin Politelli,"Murrieta, CA",Honda CRF 450,19,-,0,21,2
22,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,17,-,0,22,1
