POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,24 Laps,0:53.156,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
2,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,2.579,0:53.340,Rockstar Energy Husqvarna Factory Racing
3,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,4.629,0:53.018,Monster Energy/Knich/Factory Yamaha team
4,94,Ken Roczen,"Clermont, FL",Honda CRF 450,12.826,0:53.676,Team Honda HRC
5,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,15.694,0:53.632,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
6,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,18.772,0:53.758,Team Honda HRC
7,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,26.580,0:54.489,Smartop/MCR/Honda
8,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,27.668,0:54.330,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
9,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,29.491,0:54.599,MONSTER ENERGY KAWASAKI
10,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,30.494,0:54.324,Monster Enery/Knich/Factory Yamaha Team
11,6,Jeremy Martin,"Carlsbad, CA",Honda CRF 450,31.199,0:54.419,GEICO Honda/AMSOIL/Factory Connection
12,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,33.129,0:53.920,Rocky Mountain ATV/MC - KTM - WPS
13,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,55.230,0:54.994,Smartop Motoconcepts
14,69,Tyler Bowers,"lake elsinore, ca",Kawasaki KX 450F,23 Laps,0:55.336, 
15,22,Chad Reed,"Dade City, FL",Husqvarna FC450,15.642,0:56.067,CR22
16,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,17.470,0:56.116,H.E.P. Motorsports/FXR/Suzuki
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,19.924,0:55.843,"TPJ/Fly Racing, LbeardsleyCPA, RTS inc, UofMX, Eks Brand, Stratus, Racetech, Evs sports, Rockwell watches,Hammerhead designs,Gaerne, Lords of Gastown, Renthal, Dvs shoes. "
18,91,Alex Ray,"Milan, TN",Yamaha YZ450F,30.744,0:55.848,CycleTrader Rock River YAMAHA
19,58,Matthew Bisceglia,"Weatherford, TX",Suzuki RM-Z450,40.793,0:56.356,"living 100, nut up industries, Suzuki"
20,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,22 Laps,0:56.053,Team Tedder/Monster Energy/KTM/Lucas Oil
21,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,20.480,0:57.015, 
22,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,10 Laps,0:52.575,MONSTER ENERGY KAWASAKI
