POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,18 Laps,1:13.384,Smartop/Bullfrog Spas/Honda
2,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,4.450,1:12.811,MONSTER ENERGY KAWASAKI
3,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,10.182,1:13.023,Monster Energy Factory Yamaha Racing
4,32,Christian Craig,"Orange, CA",Honda CRF 250,15.985,1:13.739,Team Honda HRC
5,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,22.342,1:12.678,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
6,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,27.182,1:14.247,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
7,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,31.696,1:13.817,Rockstar Energy Husqvarna Factory Racing
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,33.277,1:14.796,Rockstar Energy Husqvarna Factory Racing
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,36.168,1:14.052,Rocky Mountain ATV/MC - KTM - WPS
10,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,44.092,1:14.897,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
11,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,49.259,1:14.473,Rocky Mountain ATV/MC - KTM - WPS
12,22,Chad Reed,"Dade City, FL",Husqvarna FC450,57.389,1:15.409,CR22
13,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,1:13.518,1:15.796,51FIFTY Energy Drink Yamaha
14,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,1:21.701,1:15.654,MONSTER ENERGY KAWASAKI
15,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,17 Laps,1:16.262,HEP MOTORSPORTS/FXR/Suzuki/AMP Tires
16,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,4.147,1:15.072,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
17,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,34.490,1:18.496,Smartop BullFrog
18,53,Bradley Taft,"Nixa, MO",Yamaha YZ250F,36.023,1:16.586,CycleTrader Rock River YAMAHA
19,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,56.779,1:19.008,Team Tedder/Monster Energy/KTM/Lucas Oil
20,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,16 Laps,1:18.736,"TPJ/Fly Racing,LBeardsleyCPA,RTS inc,Eks Brand,Racetech,Bills Pipes,Evs sports, Rockwell watches,Hammerhead designs,Gaerne, Lords of Gastown, Renthal, Stratus, Dvs shoes,"
21,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,15.042,1:19.711,"BWR|RaceTech|Mx Athletics|SSI Decal|L-TECH | Bills Pipes, Mika Metals, DTI Filters, Dirt Tricks, Ride Engineering, Villa Racing,"
22,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,15 Laps,1:16.752, 
