POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,11 Laps,1:13.763,MONSTER ENERGY KAWASAKI
2,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,9.337,1:13.266,Rockstar Energy Husqvarna Factory Racing
3,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,39.303,1:17.928,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
4,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,1:04.541,1:18.877,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
5,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,1:13.687,1:20.925,Monster Energy Factory Yamaha Racing
6,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,1:18.159,1:21.697,MONSTER ENERGY KAWASAKI
7,22,Chad Reed,"Dade City, FL",Husqvarna FC450,1:23.061,1:22.525,CR22
8,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,10 Laps,1:23.634,Rocky Mountain ATV/MC - KTM - WPS
9,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,22.973,1:24.215,Rockstar Energy Husqvarna Factory Racing
10,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,25.919,1:27.064,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
11,32,Christian Craig,"Orange, CA",Honda CRF 450,30.000,1:25.952,Team Honda HRC
12,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,38.418,1:26.569,Smartop Bullfrog Spas
13,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,42.065,1:28.057, 
14,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,1:10.028,1:24.129,Rocky Mountain ATV/MC - KTM - WPS
15,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,1:13.054,1:29.207,"TPJ/Fly Racing,LBeardsleyCPA,RTS inc,Eks Brand,Racetech,Bills Pipes,Evs sports, Rockwell watches,Hammerhead designs,Gaerne,Renthal, Stratus, Dvs shoes,"
16,981,Austin Politelli,"Murrieta, CA",Honda CRF 450,1:22.245,1:29.307,"U Of MX,TXS Productions,HRT Racing,California Coast Plumbers,Inc. TMI Corp"
17,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,9 Laps,1:18.834,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
18,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,1:02.726,1:31.625,H.E.P. Motorsports/FXR/Suzuki
19,476,Collin Jurin,"Monroe, WA",Kawasaki KX 450F,1:38.342,1:33.638,RF Motorsports/Fly/Lynnwood Motoplex/Spy Googles/EVO Suspension/Rekluse/Fusion Graphic/Devol Racing
20,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,1:46.801,1:32.872,Smartop/Bullfrog Spas/Honda
21,751,Joshua Hill,"Yoncalla, OR",Yamaha YZ450F,1:52.404,1:36.609,Monster Energy-Yamaha Factory Racing 
22,79,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,DNS,,Fly Racing/Schmidt Racing 
