POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,24 Laps,0:50.930,Rockstar Energy Husqvarna Factory Racing
2,94,Ken Roczen,"Clermont, FL",Honda CRF 450,0.839,0:51.239,Team Honda HRC
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,8.832,0:51.154,Rocky Mountain ATV/MC - KTM - WPS
4,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,14.448,0:51.365,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
5,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,18.791,0:51.436,Monster Energy/Knich/Factory Yamaha team
6,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,22.728,0:51.083,Team Honda HRC
7,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,27.730,0:52.202,Monster Enery/Knich/Factory Yamaha Team
8,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,43.318,0:52.864,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
9,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,51.991,0:52.305,Smartop/Bullfrog Spas/Honda
10,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,23 Laps,0:52.374,MONSTER ENERGY KAWASAKI
11,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,1.176,0:53.172,Rockstar Energy Husqvarna Factory Racing
12,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,6.271,0:52.170,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
13,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,9.965,0:53.307,MONSTER ENERGY KAWASAKI
14,22,Chad Reed,"Dade City, FL",Husqvarna FC450,39.380,0:53.279,CR22
15,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,48.505,0:52.683,Smartop BullFrog Spas
16,91,Alex Ray,"Milan, TN",Yamaha YZ450F,49.658,0:54.860,CycleTrader Rock River YAMAHA
17,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,22 Laps,0:53.577,Autotrader JGR Yoshimura Suzuki Factory Racing
18,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,1.704,0:53.820,H.E.P. MOTORSPORTS/FXR/SUZUKI
19,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,3.026,0:54.705,"PJ/Fly Racing, LbeardsleyCPA, RTS inc, UofMX, Eks Brand, Stratus, Racetech, Evs sports, Rockwell watches,Hammerhead designs,Gaerne, Lords of Gastown, Renthal, Dvs shoes/Fly Racing, LbeardsleyCPA, RTS inc, UofMX, Eks Brand, Stratus, Racetech, Evs sports, R"
20,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,21 Laps,0:52.758,Rocky Mountain ATV/MC - KTM - WPS
21,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,20 Laps,0:52.347,Triggr/Rutted/AHM Factory Services/Tyler Bowers Racing/Kawasaki
22,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,11 Laps,0:53.693,"GR Autotrader/Yoshimura/Suzuki Factory Racing, KMC, Wienerschnitzel,Textron,Scott, Ecstar,Seven, Shoei , Interstate Batteries"
