POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,24 Laps,0:51.700,Rockstar Energy Husqvarna Factory Racing
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,3.944,0:51.704,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,10.170,0:51.587,Rocky Mountain ATV/MC - KTM - WPS
4,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,12.920,0:51.444,Team Honda HRC
5,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,25.528,0:52.749,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
6,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,29.009,0:52.566,Smartop/Bullfrog Spas/Honda
7,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,37.594,0:52.474,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
8,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,51.922,0:51.730,Monster Energy/Knich/Factory Yamaha team
9,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,53.100,0:52.984,Rockstar Energy Husqvarna Factory Racing
10,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,23 Laps,0:53.542,Smartop BullFrog Spas
11,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,7.471,0:52.617,MONSTER ENERGY KAWASAKI
12,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,8.523,0:54.196,Rocky Mountain ATV/MC - KTM - WPS
13,22,Chad Reed,"Dade City, FL",Husqvarna FC450,12.892,0:53.318,CR22
14,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,26.383,0:54.657,Triggr/Rutted/AHM Factory Services/Tyler Bowers Racing/Kawasaki
15,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,48.967,0:54.928,"TPJ/Fly Racing,LBeardsleyCPA,RTS inc,UofMX,Racetech,Xbrand,Bills Pipes,Evs sports, Rockwell watches,Hammerhead designs,Gaerne, Lords of Gastown, Renthal, Stratus, Dvs shoes. "
16,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,22 Laps,0:55.682,"Rocky Mountain ATV MC, Honda, Cal coast plumbing, Viking bait, Skvi, RB company, SLO Painting, Fly Racing, Pro Circuit, Rekluse, Works Connection, Renthal, No Toil, Strength Happens, Scott USA, Galfer, Dunlop, Dubya, Acerbis, Scot , Taylor Selby, WPS, Jim"
17,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,44.661,0:53.237,"totrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
18,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,50.804,0:53.889,H.E.P. MOTORSPORTS/FXR/SUZUKI
19,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,17 Laps,0:52.278,Monster Enery/Knich/Factory Yamaha Team
20,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,14 Laps,0:55.512,Team Tedder/Monster Energy/KTM/Lucas Oil
21,94,Ken Roczen,"Clermont, FL",Honda CRF 450,2 Laps,0:53.751,Team Honda HRC
22,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,DNS,,MONSTER ENERGY KAWASAKI
