POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,2,-,12,1,26
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,6,-,0,2,23
3,94,Ken Roczen,"Clermont, FL",Honda CRF 450,1,X,0,3,21
4,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,10,-,0,4,19
5,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,14,-,0,5,18
6,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,4,-,0,6,17
7,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,5,-,0,7,16
8,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,3,-,0,8,15
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,9,-,0,9,14
10,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,13,-,0,10,13
11,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,16,-,0,11,12
12,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,15,-,0,12,11
13,71,Cole Martinez,"Rimrock, AZ",Suzuki RM-Z450,11,-,0,13,10
14,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,18,-,0,14,9
15,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,19,-,0,15,8
16,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,22,-,0,16,7
17,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,8,-,0,17,6
18,282,Theodore Pauli,"Edwardsville, IL",Kawasaki KX 450,20,-,0,18,5
19,74,Cade Autenrieth,"Hemet, CA",KTM 450 SX-F,17,-,0,19,4
20,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,21,-,0,20,3
21,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,7,-,0,21,2
