POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,6,X,23,1,26
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,7,-,0,2,23
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,5,-,0,3,21
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,1,-,0,4,19
5,94,Ken Roczen,"Clermont, FL",Honda CRF 450,4,-,0,5,18
6,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,19,-,0,6,17
7,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,10,-,0,7,16
8,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,9,-,0,8,15
9,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,8,-,0,9,14
10,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,20,-,0,10,13
11,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,3,-,0,11,12
12,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450F,12,-,0,12,11
13,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,14,-,0,13,10
14,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,16,-,0,14,9
15,71,Cole Martinez,"Rimrock, AZ",Suzuki RM-Z450,15,-,0,15,8
16,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,13,-,0,16,7
17,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,17,-,0,17,6
18,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,21,-,0,18,5
19,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,11,-,0,19,4
20,606,Ronnie Stewart,"East Waterboro, ME",Husqvarna FC450,22,-,0,20,3
21,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,2,-,0,21,2
22,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,18,-,0,22,1
