POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,4,-,13,1,26
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,3,-,12,2,23
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,2,-,0,3,21
4,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,5,X,1,4,19
5,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,10,-,0,5,18
6,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,1,-,0,6,17
7,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,17,-,0,7,16
8,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,6,-,0,8,15
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,13,-,0,9,14
10,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,8,-,0,10,13
11,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,11,-,0,11,12
12,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,7,-,0,12,11
13,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,14,-,0,13,10
14,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,12,-,0,14,9
15,59,Cole Martinez,"Rimrock, AZ",Husqvarna FC250,15,-,0,15,8
16,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,18,-,0,16,7
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,20,-,0,17,6
18,68,Justin Starling,"Deland, FL",Husqvarna FC250,16,-,0,18,5
19,58,Matthew Bisceglia,"Weatherford, TX",Suzuki RM-Z450,21,-,0,19,4
20,73,Brandon Scharer,"Gardena, CA",Yamaha YZ450F,22,-,0,20,3
21,22,Chad Reed,"Dade City, FL",Husqvarna FC450,19,-,0,21,2
