POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,20 Laps,0:51.882,Discount Tire Racing/TwoTwo Motorsports/Monster Energy
2,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,1.297,0:52.183,"Suzuki, Yoshimura, Motorex, Dunlop, Renthal, Vortex, Shorai, Zero Gravity, GET, Seven, N-Style, Hinson Clutch Components, Renegade Fuels, Showa, Mechanix Wear, Works Connection, Twin Air, Matrix, D.I.D., Excel, NGK, Kokusan, Moto Tassinari"
3,94,Ken Roczen,"Murrieta, CA",KTM 450 SX-F Factory Edit,2.686,0:52.096,"KTM, RED BULL, MOTOREX, DUNLOP"
4,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,6.346,0:52.597,Toyota/Yamaha/Nfab/JGRMXteam
5,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,15.593,0:52.330,Monster Energy Kawasaki
6,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,16.465,0:52.038,"KTM, RED BULL, MOTOREX, DUNLOP"
7,40,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,23.517,0:53.279,Motosport.com/Peick Racing/Motosport Hillsboro/Hyper-X/FLY/Yoshimura/Suzuki/Bolt Hardware/Piston Bones/Private Tier/Dragon/Dunlop/RK Exel/Sunstar/Dubya/Galfer/VP Fuels/Factory Backing
8,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,25.758,0:53.295,RCH/Soaring Eagle/Suzuki
9,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,30.055,0:53.218,BTO Sports - KTM - WPS
10,12,Jacob Weimer,"Rupert, ID",Kawasaki KX 450F,36.616,0:52.996,Monster Energy Kawasaki 
11,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,41.103,0:52.198,Team Honda Muscle Milk
12,23,William Hahn,"Menifee, CA",Honda CRF 450,42.223,0:53.360,GEICO Honda/AMSOIL/Muscle Milk/Yoshimura/Factory Connection
13,9,Ivan Tedesco,"Murrieta, CA",KTM 450 SX-F,51.973,0:54.108,Rockstar Energy Drink/KTM/BelaY/ONE/FMF/AIROH/DRAGON/ROCKWELL/HORIZON HOBBY
14,33,Joshua Grant,"Corona, CA",Yamaha YZ450F,1:02.794,0:53.970,Toyota/Yamaha/Nfab/JGRmx team
15,27,Nicholas Wey,"Murrieta, CA",Kawasaki KX 450F,19 Laps,0:53.642,Team Mafia Moto Crew
16,44,Matthew Goerke,"Temecula, CA",KTM 450 SX-F Factory Edit,0.299,0:54.398,BTO Sports - KTM - WPS
17,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,1.170,0:54.920,The Factory Metal Works/Club MX/Wideopen/Playground Poker/Pickett Weaponry/TLR Performance/Shoei/DT1/Spectro/Acerbis/Dr.D/Dunlop/Stock Car Steel/Rhino Power/Impulse Graphics/Guts/Super Sprox/Hinson/Dubya/Pro Taper/Exs Brand/CRF Stuff/Raptor/Engine Ice/Ren
18,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,17.264,0:55.376,Smartop Motoconcepts Racing
19,102,Matt Moss,"Nerriga, Australia",Suzuki RM-Z450,48.503,0:54.184,"Yoshimura Suzuki,Moss Institute,Campbell Mining"
20,68,Chris Blose,"Phoenix, AZ",Honda CRF 450,18 Laps,0:55.621,"Phit Designs, A-1 Fire Sprinklers, N-FAB INC, FREEGUN"
21,82,Kyle Partridge,"Canyon Lake, CA",Honda CRF 450,12.630,0:55.578,rocky mnt atv my Dunlop answer protaper procirquit recluse ballz racing vortex galfer dubya
22,77,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,6 Laps,0:54.441,Motosport.com/Crossland Racing/Freegun/Don's/FMF Racing/Rekluse/Acerbis Plastics/Merge Racing/180 Decals/Tech One Designs
