POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,20 Laps,0:45.816,"Suzuki, Yoshimura, Motorex, Dunlop, Renthal, Vortex, Shorai, Zero Gravity, GET, Seven, N-Style, Hinson Clutch Components, Renegade Fuels, Showa, Mechanix Wear, Works Connection, Twin Air, Matrix, D.I.D., Excel, NGK, Kokusan, Moto Tassinari"
2,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,3.174,0:46.345,"KTM, RED BULL, MOTOREX, DUNLOP"
3,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,11.653,0:46.423,Team Honda Muscle Milk
4,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,14.344,0:46.750,Monster Energy Kawasaki
5,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,16.718,0:46.631,Toyota/Yamaha/Nfab/JGRMXteam
6,94,Ken Roczen,"Murrieta, CA",KTM 450 SX-F Factory Edit,18.311,0:46.532,"KTM, RED BULL, MOTOREX, DUNLOP"
7,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,26.322,0:46.752,RCH/Soaring Eagle/Suzuki
8,23,William Hahn,"Menifee, CA",Honda CRF 450,29.888,0:47.099,GEICO Honda/AMSOIL/Muscle Milk/Yoshimura/Factory Connection
9,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,33.890,0:47.347,RCH/Soaring Eagle/Suzuki
10,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,36.601,0:47.466,BTO Sports - KTM - WPS
11,3,Eli Tomac,"Cortez, CO",Honda CRF 450,45.024,0:47.987,GEICO Honda/AMSOIL/Muscle Milk/Yoshimura/Factory Connection
12,9,Ivan Tedesco,"Murrieta, CA",KTM 350 SX-F,19 Laps,0:48.086,Rockstar Energy Drink/KTM/BelaY/ONE/FMF/AIROH/DRAGON/ROCKWELL/HORIZON HOBBY 
13,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,4.699,0:47.976,CycleTrader.com | Rock River YAMAHA
14,27,Nicholas Wey,"Murrieta, CA",Kawasaki KX 450F,6.714,0:48.956,Team Mafia Moto Crew
15,44,Matthew Goerke,"Temecula, CA",KTM 450 SX-F Factory Edit,21.554,0:48.895,BTO Sports - KTM - WPS
16,132,Justin Sipes,"Flaherty, KY",Kawasaki KX 450F,27.204,0:48.509,The Privateer Journey/Gateway Cycles/Fly Racing/Yoshimura
17,68,Chris Blose,"Phoenix, AZ",Honda CRF 450,33.745,0:49.051,"N-FAB, FACTORY METAL WORKS, PHIT DESIGNS, TESTA MOTORSPORTS"
18,77,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,18 Laps,0:49.113,Motosport.com/Crossland Racing/Freeguns/Don's Cold Storage/FMF Racing/Rekluse/Acerbis Plastics/Merge Racing
19,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,39.052,0:48.829,Smartop Motoconcepts Racing
20,40,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,42.724,0:47.136,"Motosport.com/Fly Racing/Peick Racing/Hyper X/Yoshimura/Suzuki/Bolt Hardware/Spectro/Dragon/WPS/Dunlop/Surface/Galfer/VP Fuels/Motosport Hillsboro/Piston Bones/Acerbis
"
21,247,Teddy Parks,"Princeton, TX",Suzuki RM-Z450,17 Laps,0:49.548,Fly Racing The Privateer Journey/Galfer/Engine Ice/Pro Moto Fan/Shades of Gray/Yoshimura/Rekluse Clutches/V. P. Fuel/Sikk Shades/Dubya Wheels/Moto Hose/Dt-1 Filters/Mika Bars/Magik Graphics/PMP Sprockets/Vertex Hot Cams/Pivot Works/Cometic Gaskets/Devol/M
22,38,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,16 Laps,0:48.450,Toyota/Yamaha/Nfab/JGR
