POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,20 Laps,0:55.679,"Suzuki, Yoshimura, Motorex, Dunlop, Renthal, Vortex, Shorai, Zero Gravity, GET, Seven, N-Style, Hinson Clutch Components, Renegade Fuels, Showa, Mechanix Wear, Works Connection, Twin Air, Matrix, D.I.D., Excel, NGK, Kokusan, Moto Tassinari"
2,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,1.703,0:55.979,Monster Energy Kawasaki
3,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,4.356,0:56.317,"KTM, RED BULL, MOTOREX, DUNLOP"
4,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,19.229,0:56.802,BTO Sports - KTM - WPS
5,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,20.642,0:56.682,Team Honda Muscle Milk
6,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,21.555,0:56.406,RCH/Soaring Eagle/Suzuki
7,40,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,22.527,0:56.906,Motosport.com/Fly Racing/Peick Racing/Hyper X/Yoshimura/Suzuki/Bolt Hardware/Spectro/Dragon/WPS/Dunlop/Surface/Galfer/VP Fuels/Motosport Hillsboro/Piston Bones/DAM Consulting/Acerbis 
8,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,24.482,0:56.825,RCH/Soaring Eagle/Suzuki
9,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,29.153,0:57.238,Toyota/Yamaha/Nfab/JGRMXteam
10,33,Joshua Grant,"Corona, CA",Yamaha YZ450F,38.358,0:57.410,Toyota/Yamaha/Nfab/JGRmx team
11,44,Matthew Goerke,"Temecula, CA",KTM 450 SX-F Factory Edit,40.247,0:57.613,BTO Sports - KTM - WPS
12,15,Dean Wilson,"Wesley Chapel, FL",Kawasaki KX 450F,47.445,0:56.752,Discount Tire Racing/TwoTwo Motorsports/Monster/Pro Circuit Kawasaki
13,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,48.934,0:58.079,Smartop Motoconcepts Racing
14,23,William Hahn,"Menifee, CA",Honda CRF 450,53.226,0:56.992,GEICO Honda/AMSOIL/Muscle Milk/Yoshimura/Factory Connection
15,21,Cole Seely,"Lake Elsinore, CA",Honda CRF 450,19 Laps,0:57.010,Team Honda Muscle Milk 
16,68,Chris Blose,"Phoenix, AZ",Honda CRF 450,2.428,0:58.500,"N-FAB, FACTORY METAL WORKS, TESTA MOTORSPORTS, PHIT DESIGNS"
17,27,Nicholas Wey,"Dewitt, MI",Kawasaki KX 450F,4.556,0:58.691,Team Mafia Moto Crew
18,77,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,8.499,0:59.017,Motosport.com/Crossland Racing/Freeguns/Don's/FMF Racing/Rekluse/Acerbis Plastics/Merge Racing
19,606,Ronnie Stewart,"Easton, PA",Suzuki RM-Z450,48.310,0:59.782,"DirtCandy Graphics, PRBC.com, Yoshimura, ISC Racers Tape, Hellbound Racing, Spy Optics, Rekluse, Troy Lee Designs, Silkolene, Matrix Concepts, Galfer USA, DT1 Filters, Bazzaz, Dunlop, Pro Circuit "
20,94,Ken Roczen,"Murrieta, CA",KTM 450 SX-F Factory Edit,18 Laps,0:57.325,"KTM, RED BULL, MOTOREX, DUNLOP"
21,374,Cody Gilmore,"Blair, NE",Kawasaki KX 450F,0.198,1:00.572,"Yankton Motorsports, Motosport.com, Chrome Horse Choppers, RaceTech, HoliRosa, MotoOption, Hotcams, Sunstar, Strikt, Utopia, Ti Lube, Vertex, Streamline Brakes, Odi Grips, Dt1 Filters, Motion Pro, FmF, Ride Engineering, Hammerhead, Mx Culture, motonews.co"
22,415,Nicholas Schmidt,"Riverside, CA",Honda CRF 450,7 Laps,1:00.214,-- none listed --
