POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,20 Laps,1:02.893,Discount Tire Racing/TwoTwo Motorsports/Monster Energy
2,94,Ken Roczen,"Murrieta, CA",KTM 450 SX-F Factory Edit,0.918,1:02.724,"KTM, RED BULL, MOTOREX, DUNLOP"
3,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,9.845,1:03.236,Monster Energy Kawasaki
4,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,17.449,1:03.097,Team Honda Muscle Milk
5,40,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,25.890,1:03.415,"Motosport.com/Fly Racing/Peick Racing/Hyper X/Yoshimura/Suzuki/Bolt Hardware/Spectro/Dragon/WPS/Dunlop/Surface/Galfer/VP Fuels/Motosport Hillsboro/Piston Bones/Acerbis
"
6,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,31.000,1:03.964,Toyota/Yamaha/Nfab/JGRMXteam
7,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,35.154,1:03.136,"Suzuki, Yoshimura, Motorex, Dunlop, Renthal, Vortex, Shorai, Zero Gravity, GET, Seven, N-Style, Hinson Clutch Components, Renegade Fuels, Showa, Mechanix Wear, Works Connection, Twin Air, Matrix, D.I.D., Excel, NGK, Kokusan, Moto Tassinari"
8,12,Jacob Weimer,"Rupert, ID",Kawasaki KX 450F,37.030,1:04.287,Monster Energy Kawasaki 
9,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,42.242,1:03.773,BTO Sports - KTM - WPS
10,9,Ivan Tedesco,"Murrieta, CA",KTM 350 SX-F,47.025,1:04.787,Rockstar Energy Drink/KTM/BelaY/ONE/FMF/AIROH/DRAGON/ROCKWELL/HORIZON HOBBY 
11,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,51.862,1:04.946,RCH/Soaring Eagle/Suzuki
12,23,William Hahn,"Menifee, CA",Honda CRF 450,54.320,1:05.030,GEICO Honda/AMSOIL/Muscle Milk/Yoshimura/Factory Connection
13,27,Nicholas Wey,"Murrieta, CA",Kawasaki KX 450F,56.954,1:05.157,Team Mafia Moto Crew
14,102,Matt Moss,"Nerriga, Australia",Suzuki RM-Z450,1:01.104,1:05.220,"Yoshimura Suzuki,Moss Institute,Campbell Mining"
15,77,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,19 Laps,1:05.601,Motosport.com/Crossland Racing/Freeguns/Don's Cold Storage/FMF Racing/Rekluse/Acerbis Plastics/Merge Racing
16,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,15.986,1:05.524,The Factory Metal Works/Club MX/Wideopen/Playground Poker/Pickett Weaponry/TLR Performance/Shoei/DT1/Spectro/Acerbis/Dr.D/Dunlop/Stock Car Steel/Rhino Power/Impulse Graphics/Guts/Super Sprox/Hinson/Dubya/Pro Taper/Exs Brand/CRF Stuff/Raptor/Engine Ice/Ren
17,33,Joshua Grant,"Corona, CA",Yamaha YZ450F,29.599,1:05.672,Toyota/Yamaha/Nfab/JGRmx team
18,44,Matthew Goerke,"Temecula, CA",KTM 450 SX-F Factory Edit,35.062,1:06.244,BTO Sports - KTM - WPS
19,68,Chris Blose,"Phoenix, AZ",Honda CRF 450,51.687,1:07.134,"Phit Designs, A-1 Fire Sprinklers, N-FAB INC, FREEGUN"
20,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,12 Laps,1:03.225,"KTM, RED BULL, MOTOREX, DUNLOP"
21,3,Eli Tomac,"Cortez, CO",Honda CRF 450,9 Laps,1:04.304,GEICO Honda/AMSOIL/Muscle Milk/Yoshimura/Factory Connection
22,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,1 Lap,1:04.919,Smartop Motoconcepts Racing
