POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Murrieta, CA",KTM 450 SX-F Factory Edit,20 Laps,0:58.464,"KTM, RED BULL, MOTOREX, DUNLOP"
2,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,3.186,0:58.490,"KTM, RED BULL, MOTOREX, DUNLOP"
3,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,9.288,0:58.684,Discount Tire Racing/TwoTwo Motorsports/Monster Energy
4,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,13.886,0:58.342,Monster Energy Kawasaki
5,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,20.668,0:58.506,AMERICAN HONDA/ALPINESTARS/SPY/SHOEI/DVS
6,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,23.633,0:58.995,Toyota/Yamaha/Nfab/JGRMXteam
7,33,Joshua Grant,"Corona, CA",Yamaha YZ450F,30.078,0:58.848,Toyota/Yamaha/Nfab/JGRmx team
8,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,34.112,0:59.458,RCH/Soaring Eagle/Suzuki
9,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,41.795,1:00.002,BTO Sports - KTM - WPS
10,12,Jacob Weimer,"Rupert, ID",Kawasaki KX 450F,45.116,1:00.213,Monster Energy Kawasaki 
11,23,William Hahn,"Menifee, CA",Honda CRF 450,49.698,1:00.210,GEICO Honda/AMSOIL/Muscle Milk/Yoshimura/Factory Connection
12,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,19 Laps,1:00.355,Smartop Motoconcepts Racing
13,102,Matt Moss,"Nerriga, Australia",Suzuki RM-Z450,26.729,0:59.911,"Yoshimura Suzuki,Moss Institute,Campbell Mining"
14,415,Nicholas Schmidt,"Riverside, CA",Honda CRF 450,46.308,1:02.732,Dsc flyracing TPJ
15,82,Kyle Partridge,"Canyon Lake, CA",Honda CRF 450,18 Laps,1:02.498,Rocky Mountain ATV/MC/ride engineering/works connection/pro circuit/high desert services/dunlop/vortex/mb1 motorsports/dubya/2 up moto/rekluse/galfer/demolition services inc
16,40,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,3.630,0:58.606,Motosport.com/Peick Racing/Motosport Hillsboro/Hyper-X/FLY/Yoshimura/Suzuki/Bolt Hardware/Piston Bones/Private Tier/Dragon/Dunlop/RK Exel/Sunstar/Dubya/Galfer/VP Fuels/Factory Backing
17,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,15 Laps,0:58.101,"Suzuki, Yoshimura, Motorex, Dunlop, Renthal, Vortex, Shorai, Zero Gravity, GET, Seven, N-Style, Hinson Clutch Components, Renegade Fuels, Showa, Mechanix Wear, Works Connection, Twin Air, Matrix, D.I.D., Excel, NGK, Kokusan, Moto Tassinari"
18,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,11 Laps,1:00.446,RCH/Soaring Eagle/Suzuki
19,77,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,6 Laps,1:02.764,Motosport.com/Crossland Racing/Freegun/Don's/FMF Racing/Rekluse/Acerbis Plastics/Merge Racing/180 Decals/Tech One Designs
20,44,Matthew Goerke,"Temecula, CA",KTM 450 SX-F Factory Edit,3 Laps,1:00.773,BTO Sports - KTM - WPS
21,9,Ivan Tedesco,"Murrieta, CA",KTM 450 SX-F,DNF,,Rockstar Energy Drink/KTM/BelaY/ONE/FMF/AIROH/DRAGON/ROCKWELL/HORIZON HOBBY
22,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,-no times-,,The Factory Metal Works/Club MX/Wideopen/Playground Poker/Pickett Weaponry/TLR Performance/Shoei/DT1/Spectro/Acerbis/Dr.D/Dunlop/Stock Car Steel/Rhino Power/Impulse Graphics/Guts/Super Sprox/Hinson/Dubya/Pro Taper/Exs Brand/CRF Stuff/Raptor/Engine Ice/Ren
