POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,20 Laps,1:04.127,Monster Energy Kawasaki
2,94,Ken Roczen,"Murrieta, CA",KTM 450 SX-F Factory Edit,12.632,1:05.728,"KTM, RED BULL, MOTOREX, DUNLOP"
3,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,16.835,1:05.550,"KTM, RED BULL, MOTOREX, DUNLOP"
4,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,25.423,1:06.190,RCH/Soaring Eagle/Suzuki
5,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,28.041,1:06.361,BTO Sports - KTM - WPS
6,23,William Hahn,"Menifee, CA",Honda CRF 450,29.306,1:06.281,GEICO Honda/AMSOIL/Muscle Milk/Yoshimura/Factory Connection
7,15,Dean Wilson,"Wesley Chapel, FL",Kawasaki KX 450F,32.379,1:05.378,Discount Tire Racing/TwoTwo Motorsports/Monster/Pro Circuit Kawasaki
8,44,Matthew Goerke,"Temecula, CA",KTM 450 SX-F Factory Edit,32.972,1:07.001,BTO Sports - KTM - WPS
9,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,34.555,1:06.651,Toyota/Yamaha/Nfab/JGRMXteam
10,33,Joshua Grant,"Corona, CA",Yamaha YZ450F,41.621,1:06.918,Toyota/Yamaha/Nfab/JGRmx team
11,21,Cole Seely,"Lake Elsinore, CA",Honda CRF 450,54.812,1:07.263,Team Honda Muscle Milk 
12,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,1:01.957,1:06.066,Team Honda Muscle Milk
13,38,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,19 Laps,1:06.620,Toyota/Yamaha/Nfab/JGR
14,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,5.867,1:07.546,Smartop Motoconcepts Racing
15,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,7.706,1:07.260,RCH/Soaring Eagle/Suzuki
16,68,Chris Blose,"Phoenix, AZ",Honda CRF 450,33.215,1:09.725,"N-FAB, FACTORY METAL WORKS, PHIT DESIGNS, TESTA MOTORSPORTS"
17,77,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,36.633,1:10.444,Motosport.com/Crossland Racing/Freeguns/Don's/FMF Racing/Rekluse/Acerbis Plastics/Merge Racing
18,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,44.050,1:05.974,"Suzuki, Yoshimura, Motorex, Dunlop, Renthal, Vortex, Shorai, Zero Gravity, GET, Seven, N-Style, Hinson Clutch Components, Renegade Fuels, Showa, Mechanix Wear, Works Connection, Twin Air, Matrix, D.I.D., Excel, NGK, Kokusan, Moto Tassinari"
19,415,Nicholas Schmidt,"Riverside, CA",Honda CRF 450,48.891,1:07.647,Flyracing dsc naveen yoshimura dvsshoes 
20,606,Ronnie Stewart,"Easton, PA",Suzuki RM-Z450,11 Laps,1:09.585,"DirtCandy Graphics, PRBC.com, Yoshimura, ISC Racers Tape, Hellbound Racing, Spy Optics, Rekluse, Troy Lee Designs, Silkolene, Matrix Concepts, Galfer USA, DT1 Filters, Bazzaz, Dunlop, Pro Circuit "
21,34,Malcolm Stewart,"Haines City, FL",Honda CRF 450,9 Laps,1:06.136,"Troy Lee Designs, Mav TV, Honda,Red Bull"
22,27,Nicholas Wey,"Murrieta, CA",Kawasaki KX 450F,6 Laps,1:08.002,Team Mafia Moto Crew
