POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,5,Ryan Dungey,"Tallahassee, FL",KTM 450 SX-F Factory Edit,1,X,20,1,25
2,3,Eli Tomac,"Cortez, CO",Honda CRF 450,9,-,0,2,22
3,21,Jason Anderson,"Edgewood, NM",Husqvarna FC450,7,-,0,3,20
4,14,Cole Seely,"Laguna Beach, CA",Honda CRF 450,4,-,0,4,18
5,23,Weston Peick,"Menifee, CA",Yamaha YZ450F,3,-,0,5,16
6,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,10,-,0,6,15
7,18,David Millsaps,"Murrieta, CA",Kawasaki KX 450F,6,-,0,7,14
8,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,5,-,0,8,13
9,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,11,-,0,9,12
10,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,17,-,0,10,11
11,11,Kyle Chisholm,"Valrico, FL",Kawasaki KX 450F,14,-,0,11,10
12,27,Nicholas Wey,"Dewitt, MI",Kawasaki KX 450F,13,-,0,12,9
13,46,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,15,-,0,13,8
14,70,Nicholas Schmidt,"Riverside, CA",Suzuki RM-Z450,12,-,0,14,7
15,42,Ben Lamay,"Austin, TX",Husqvarna FC450,20,-,0,15,6
16,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,18,-,0,16,5
17,285,Tony Archer,"Waldorf, MD",Kawasaki KX 450F,22,-,0,17,4
18,10,Justin Brayton,"Murrieta, CA",KTM 450 SX-F Factory Edit,8,-,0,18,3
19,58,Killian Rusk,"Temecula, CA",Yamaha YZ450F,21,-,0,19,2
20,69,Ronnie Stewart,"Easton, PA",Suzuki RM-Z450,16,-,0,20,1
21,199,Kyle Partridge,"Lake Elsinore, CA",Honda CRF 450,19,-,0,21,1
