POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,24,Austin Forkner,"Richards, MO",Kawasaki KX 250F,2,-,19,1,26
2,32,Justin Cooper,"Huntington, NY",Yamaha YZ250F,3,-,0,2,23
3,23,Chase Sexton,"Clermont, FL",Honda CRF 250,7,-,0,3,21
4,28,Jordon Smith,"Belmont, NC",KTM 250 SX-F,4,-,0,4,19
5,73,Martin Davalos,"Tallahassee, FL",Kawasaki KX 250F,6,-,0,5,18
6,66,Mitchell Oldenburg,"Godley, TX",Yamaha YZ250F,1,-,0,6,17
7,55,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,10,X,0,7,16
8,26,Alex Martin,"Clermont, FL",Suzuki RM-Z250,5,-,0,8,15
9,45,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,16,-,0,9,14
10,37,Kyle Cunningham,"Willow Park, TX",Honda CRF 250,19,-,0,10,13
11,65,Anthony Rodriguez,"Tallahassee, Fl",Yamaha YZ250F,14,-,0,11,12
12,52,Jordan Bailey,"Orlando, FL",Husqvarna FC250,9,-,0,12,11
13,70,Joshua Osby,"Valparaiso, IN",Yamaha YZ250F,12,-,0,13,10
14,56,Lorenzo Locurcio,"Groveland, FL",Kawasaki KX 250,17,-,0,14,9
15,63,John Short,"Pilot Point, TX",Honda CRF 250,13,-,0,15,8
16,81,Joshua Cartwright,"Tallahassee, FL",Yamaha YZ250F,18,-,0,16,7
17,285,Marshal Weltin,"Ubly, MI",KTM 250 SX-F,11,-,0,17,6
18,511,Steven Clarke,"Stourbridge, United Kingdom",Honda CRF 250,21,-,0,18,5
19,116,Tj Albright,"Mount Marion, NY",KTM 250 SX-F,22,-,0,19,4
20,74,Cade Autenrieth,"Hemet, CA",Honda CRF 250,15,-,0,20,3
21,93,Blake Wharton,"Denton, TX",Honda CRF 250,8,-,0,21,2
22,78,Ramyller Alves,"Coconut Creek, FL",Yamaha YZ250F,20,-,0,22,1
