POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250,1,-,15,1,26
2,34,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,5,-,0,2,23
3,39,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,2,-,0,3,21
4,31,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,3,-,0,4,19
5,36,Michael Mosiman,"Menifee, CA",Husqvarna FC250,7,X,6,5,18
6,44,Cameron Mcadoo,"Chesterfield, SC",Honda CRF 250,6,-,0,6,17
7,64,James Decotis,"Peabody, MA",Suzuki RM-Z250,4,-,0,7,16
8,60,Justin Starling,"Deland, FL",Husqvarna FC250,9,-,0,8,15
9,54,Dylan Merriam,"Corona, CA",Husqvarna FC250,14,-,0,9,14
10,67,Enzo Lopes,"Wildomar, CA",Suzuki RM-Z250,21,-,0,10,13
11,72,Martin Castelo,"Murrieta, CA",Husqvarna FC250,15,-,0,11,12
12,40,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,12,-,0,12,11
13,141,Robbie Wageman,"Newhall, CA",Honda CRF 250,8,-,0,13,10
14,83,Killian Auberson,"Winchester, CA",KTM 250 SX-F,11,-,0,14,9
15,111,Chris Blose,"Phoenix, AZ",Husqvarna FC250,20,-,0,15,8
16,471,Logan Karnow,"Vermilion, OH",Kawasaki KX 250,17,-,0,16,7
17,321,Bradley Lionnet,"Menifee, CA",Yamaha YZ250F,10,-,0,17,6
18,255,Johnny Garcia,"Moriarty, NM",Honda CRF 250,18,-,0,18,5
19,194,Jerry Robin,"Corcoran, MN",KTM 250 SX-F,13,-,0,19,4
20,122,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,16,-,0,20,3
21,446,Blaine Silveira,"Lemoore, CA",Honda CRF 250,22,-,0,21,2
