POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250,3,X,9,1,26
2,61,Garrett Marchbanks,"Coalville, UT",Kawasaki KX 250,19,-,0,2,23
3,64,James Decotis,"Peabody, MA",Suzuki RM-Z250,6,-,0,3,21
4,12,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,20,-,0,4,19
5,160,Jess Pettis,"Prince George, Canada",KTM 250 SX-F,8,-,0,5,18
6,72,Martin Castelo,Ecuador,Suzuki RM-Z250,9,-,0,6,17
7,34,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,1,-,0,7,16
8,221,Mathias Jorgensen,"Bjerge, Denmark",KTM 250 SX-F,21,-,0,8,15
9,44,Cameron Mcadoo,"Chesterfield, SC",Honda CRF 250,7,-,0,9,14
10,39,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,4,-,0,10,13
11,111,Chris Blose,"Phoenix, AZ",Husqvarna FC250,11,-,0,11,12
12,36,Michael Mosiman,"Menifee, CA",Husqvarna FC250,12,-,0,12,11
13,156,Jacob Hayes,"Greensboro, NC",Yamaha YZ250F,13,-,0,13,10
14,910,Carson Brown,"Ravensdale, WA",Husqvarna FC250,10,-,0,14,9
15,31,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,2,-,0,15,8
16,184,Scott Champion,"Orange, CA",Yamaha YZ250F,18,-,0,16,7
17,621,Rj Wageman,"Newhall, CA",Yamaha YZ250F,15,-,0,17,6
18,216,Devin Harriman,"Longview, WA",KTM 250 SX-F,16,-,0,18,5
19,67,Enzo Lopes,"Wildomar, CA",Suzuki RM-Z250,5,-,0,19,4
20,427,Deegan Vonlossberg,"Palmdale, CA",Yamaha YZ250F,22,-,0,20,3
21,952,Ludovic Macler,"Bliesbruck, France",Kawasaki KX 250,17,-,0,21,2
