POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1E,Chase Sexton,"Clermont, FL",Honda CRF250R,2,-,11,1,26
2,24,Rj Hampshire,"Minneola, FL",Husqvarna FC250,6,X,8,2,23
3,12,Shane Mcelrath,"Murrieta, CA",Yamaha YZ250F,3,-,0,3,21
4,54,Jordon Smith,"Ochlocknee, GA",Kawasaki KX250,4,-,0,4,19
5,84,Jo Shimoda,"Irvine, CA",Honda CRF250R,9,-,0,5,18
6,66,Enzo Lopes,"Huntersville, NC",Yamaha YZ250F,7,-,0,6,17
7,36,Garrett Marchbanks,"Coalville, UT",Kawasaki KX250,10,-,0,7,16
8,68,Nick Gaines,"Ringgold, GA",Yamaha YZ250F,8,-,0,8,15
9,352,Jalek Swoll,"Belleview, FL",Husqvarna FC250,18,-,0,9,14
10,175,Joshua Hill,"Huntersville, NC",Yamaha YZ250F,12,-,0,10,13
11,201,Cedric Soubeyras,"Plant City, FL",Husqvarna FC250,21,-,0,11,12
12,39,Jordan Bailey,"Orlando, FL",Honda CRF250R,14,-,0,12,11
13,53,James Decotis,"Huntersville, NC",Suzuki RMZ250,22,-,0,13,10
14,77,Kevin Moranz,"Topeka, KS",KTM 250SX-F,11,-,0,14,9
15,367,Hunter Sayles,"Chassell, MI",KTM 250SX-F,16,-,0,15,8
16,56,Justin Starling,"Deland, FL",Honda CRF250R,13,-,0,16,7
17,163,Pierce Brown,"Sandy, UT",KTM 250SX-F,5,-,0,17,6
18,349,Grant Harlan,"Justin, TX",Honda CRF250R,19,-,0,18,5
19,6,Jeremy Martin,"Rochester, MN",Honda CRF250R,1,-,0,19,4
20,125,Luke Neese,"Jamestown, NC",Honda CRF250R,15,-,0,20,3
21,981,Curren Thurman,"Rosharon, TX",KTM 250SX-F,17,-,0,21,2
22,194,Lance Kobusch,"New Florence, MO",KTM 250SX-F,20,-,0,22,1
