POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,12,Shane Mcelrath,"Murrieta, CA",Yamaha YZ250F,2,-,14,1,26
2,13,Colt Nichols,"Murrieta, CA",Yamaha YZ250F,6,X,6,2,23
3,6,Jeremy Martin,"Rochester, MN",Honda CRF250R,4,-,0,3,21
4,1E,Chase Sexton,"Clermont, FL",Honda CRF250R,1,-,0,4,19
5,36,Garrett Marchbanks,"Coalville, UT",Kawasaki KX250,3,-,0,5,18
6,38,Kyle Peters,"Greensboro, NC",Honda CRF250R,5,-,0,6,17
7,352,Jalek Swoll,"Belleview, FL",Husqvarna FC250,10,-,0,7,16
8,84,Jo Shimoda,"Irvine, CA",Honda CRF250R,17,-,0,8,15
9,49,Chris Blose,"Phoenix, AZ",Honda CRF250R,7,-,0,9,14
10,163,Pierce Brown,"Sandy, UT",KTM 250SX-F FE,16,-,0,10,13
11,159,Jace Owen,"Mattoon, IL",Honda CRF250R,9,-,0,11,12
12,39,Jordan Bailey,"Orlando, FL",Honda CRF250R,12,-,0,12,11
13,43,John Short,"Pilot Point, TX",Honda CRF250R,13,-,0,13,10
14,59,Joshua Osby,"Valparaiso, IN",Yamaha YZ250F,20,-,0,14,9
15,47,Lorenzo Locurcio,"Groveland, FL",Kawasaki KX250,15,-,0,15,8
16,981,Curren Thurman,"Rosharon, TX",KTM 250SX-F,22,-,0,16,7
17,56,Justin Starling,"Deland, FL",Husqvarna FC250,8,-,0,17,6
18,73,Chase Marquier,"Newcastle, OK",Honda CRF250R,11,-,0,18,5
19,332,Dustin Winter,"Clearwater, KS",KTM 250SX-F,21,-,0,19,4
20,157,Darian Sanayei,"Murrieta , CA",Kawasaki KX250,14,-,0,20,3
21,185,Wilson Fleming,"Jacksonville, FL",Honda CRF250R,19,-,0,21,2
22,67,Jerry Robin,"Hamel, MN",Husqvarna FC250,18,-,0,22,1
