POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,36,Garrett Marchbanks,"Coalville, UT",Kawasaki KX250,2,X,14,1,26
2,1E,Chase Sexton,"Clermont, FL",Honda CRF250R,6,-,0,2,23
3,6,Jeremy Martin,"Rochester, MN",Honda CRF250R,4,-,0,3,21
4,24,Rj Hampshire,"Minneola, FL",Husqvarna FC250,11,-,0,4,19
5,12,Shane Mcelrath,"Murrieta, CA",Yamaha YZ250F,1,-,0,5,18
6,163,Pierce Brown,"Sandy, UT",KTM 250SX-F,21,-,0,6,17
7,84,Jo Shimoda,"Irvine, CA",Honda CRF250R,7,-,0,7,16
8,66,Enzo Lopes,"Huntersville, NC",Yamaha YZ250F,17,-,0,8,15
9,352,Jalek Swoll,"Belleview, FL",Husqvarna FC250,19,-,0,9,14
10,201,Cedric Soubeyras,"Plant City, FL",Husqvarna FC250,12,-,0,10,13
11,39,Jordan Bailey,"Orlando, FL",Honda CRF250R,5,-,0,11,12
12,47,Lorenzo Locurcio,"Groveland, FL",Kawasaki KX250,16,-,0,12,11
13,349,Grant Harlan,"Justin, TX",Honda CRF250R,20,-,0,13,10
14,159,Jace Owen,"Mattoon, IL",Honda CRF250R,15,-,0,14,9
15,56,Justin Starling,"Deland, FL",Honda CRF250R,14,-,0,15,8
16,981,Curren Thurman,"Rosharon, TX",KTM 250SX-F,13,-,0,16,7
17,73,Chase Marquier,"Newcastle, OK",Honda CRF250R,10,-,0,17,6
18,128,Carter Halpain,"Lubbock, TX",Yamaha YZ250F,9,-,0,18,5
19,332,Dustin Winter,"Clearwater, KS",KTM 250SX-F,22,-,0,19,4
20,258,Justin Rodbell,"Prince Frederick, MD",Yamaha YZ250F,18,-,0,20,3
21,175,Joshua Hill,"Huntersville, NC",Yamaha YZ250F,8,-,0,21,2
