POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1W,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ250F,6,-,1,1,26
2,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,5,-,0,2,23
3,30,Brandon Hartranft,"Corona, CA",KTM 250SX-F Factory Editi,7,-,0,3,21
4,28,Michael Mosiman,"Menifee, CA",Husqvarna FC250,19,-,0,4,19
5,26,Alex Martin,"Clermont, FL",Suzuki RMZ250,20,-,0,5,18
6,101,Luke Clout,"Hemet, CA",Honda CRF250R,21,-,0,6,17
7,40,Mitchell Oldenburg,"Godley, TX",Honda CRF250R,3,-,0,7,16
8,45,Jacob Hayes,"Lodi, CA",Husqvarna FC250,8,-,0,8,15
9,83,Jett Lawrence,"Wesley Chapel, FL",Honda CRF250R,4,-,16,9,14
10,90,Killian Auberson,"Winchester, CA",KTM 250SX-F,12,-,0,10,13
11,106,Jay Wilson,"Palm Beach, QLD",Yamaha YZ250F,14,-,0,11,12
12,95,Carson Brown,"Ravensdale, WA",Husqvarna FC250,10,-,0,12,11
13,108,Aaron Tanti,"Silverdale, NSW",Yamaha YZ250F,13,-,0,13,10
14,72,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,22,-,0,14,9
15,88,Logan Karnow,"Amherst, OH",Kawasaki KX250,18,-,0,15,8
16,55,Martin Castelo,"Murrieta, CA",Husqvarna FC250,16,-,0,16,7
17,52,Austin Forkner,"Richards, MO",Kawasaki KX250,1,-,0,17,6
18,57,Derek Drake,"Corona, CA",KTM 250SX-F Factory Editi,9,-,0,18,5
19,952,Ludovic Macler,"Bliesbruck, FR",Kawasaki KX250,15,-,0,19,4
20,118,Cheyenne Harmon,"Dallas, TX",Honda CRF250R,11,-,0,20,3
21,284,Lorenzo Camporese,"Campodarsego, PD",Kawasaki KX250,17,-,0,21,2
22,62,Christian Craig,"Orange, CA",Honda CRF250R,2,X,1,22,1
