POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,52,Austin Forkner,"Richards, MO",Kawasaki KX250,1,-,20,1,26
2,1W,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ250F,10,-,0,2,23
3,29,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,6,-,0,3,21
4,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,7,X,0,4,19
5,28,Michael Mosiman,"Menifee, CA",Husqvarna FC250,4,-,0,5,18
6,26,Alex Martin,"Clermont, FL",Suzuki RMZ250,8,-,0,6,17
7,30,Brandon Hartranft,"Brick, NJ",KTM 250SX-F,5,-,0,7,16
8,62,Christian Craig,"Orange, CA",Honda CRF250R,2,-,0,8,15
9,57,Derek Drake,"San Luis Obispo, CA",KTM 250SX-F,15,-,0,9,14
10,40,Mitchell Oldenburg,"Godley, TX",Honda CRF250R,9,-,0,10,13
11,83,Jett Lawrence,"Wesley Chapel, FL",Honda CRF250R,3,-,0,11,12
12,101,Luke Clout,"Hemet, CA",Honda CRF250R,12,-,0,12,11
13,35,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,19,-,0,13,10
14,227,Derek Kelley,"Riverside, CA",Husqvarna FC250,11,-,0,14,9
15,55,Martin Castelo,"Murrieta, CA",Husqvarna FC250,13,-,0,15,8
16,60,Mitchell Falk,"Costa Mesa, CA",Honda CRF250R,20,-,0,16,7
17,90,Killian Auberson,"Winchester, CA",Husqvarna FC250,21,-,0,17,6
18,88,Logan Karnow,"Amherst, OH",Kawasaki KX250,18,-,0,18,5
19,118,Cheyenne Harmon,"Roanoke, TX",Kawasaki KX250,22,-,0,19,4
20,837,Bryson Gardner,"Paso Robles, CA",Honda CRF250R,17,-,0,20,3
21,95,Carson Brown,"Ravensdale, WA",Husqvarna FC250,14,-,0,21,2
22,72,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,16,-,0,22,1
