POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,5,Ryan Dungey,"Tallahassee, FL",KTM 450 SX-F Factory Edit,20 Laps,0:57.316,KTM/RED BULL/MOTOREX/WP/AKRAPOVIC/DUNLOP
2,14,Cole Seely,"Laguna Beach, CA",Honda CRF 450,2.361,0:57.513,Team Honda HRC
3,3,Eli Tomac,"Cortez, CO",Honda CRF 450,3.265,0:57.595,GEICO Honda
4,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,5.012,0:57.889,RCH Soaring Eagle/Jimmy Johns/Suzuki Factory Racing
5,41,Trey Canard,"Edmond, OK",Honda CRF 450,16.445,0:57.888,Team Honda HRC
6,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,19.983,0:58.389,Discount Tire
7,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,21.461,0:57.867,Yoshimura Suzuki Factory Racing/Motorex/Dunlop/Renthal/Showa/Vortex/Renegade Rentals/Shorai/Seven/Hinson/Elf Fuel/RG3/GET/TwinAir/Matrix/N-Style/D.I.D./Excel/NGK/Mechanix Wear/Works Connection/Moto Tassinari
8,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,25.067,0:58.962,Autotrader/Toyota/Yamaha
9,21,Jason Anderson,"Edgewood, NM",Husqvarna FC450,28.782,0:58.678,Rockstar Energy Husqvarna Factory Racing 
10,75,Joshua Hill,"Yoncalla, OR",Yamaha YZ450F,49.593,0:59.518,"Monster Energy, Yamaha, Valley Motorsports"
11,18,David Millsaps,"Murrieta, CA",Kawasaki KX 450F,57.542,0:59.393,Monster Energy Kawasaki
12,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,1:00.244,1:00.022,BTO Sports - KTM - WPS
13,45,Vince Friese,"Cape Girardeau, MO",Honda CRF 250,19 Laps,1:00.710,SMARTOP MOTOCONCEPTS RACING
14,11,Kyle Chisholm,"Valrico, FL",Kawasaki KX 450F,1.684,1:00.529, 
15,12,Jacob Weimer,"Wildomar, CA",Kawasaki KX 450F,15.792,0:59.497,Team Tedder
16,53,Jimmy Albertson,"Shawnee, OK",Yamaha YZ450F,18.700,1:00.216,arm energy motorsport.com yamaha
17,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,21.469,1:00.404,Smartop MotoConcepts Racing
18,24,Brett Metcalfe,"Lake Elsinore, CA",Suzuki RM-Z450,28.178,1:00.063, 
19,42,Ben Lamay,"Forney, TX",Yamaha YZ450F,39.316,1:01.637,"CycleTrader.com | Rock River YAMAHA | Larry Beardsley, CPA"
20,46,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,52.210,1:00.810,JGR
21,70,Nicholas Schmidt,"Riverside, CA",Suzuki RM-Z450,18 Laps,1:00.785,Team 3br dsc
22,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,13 Laps,0:59.729,Discount Tire Racing/TwoTwo Motorsports
