POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,20 Laps,0:48.886,Discount Tire
2,5,Ryan Dungey,"Tallahassee, FL",KTM 450 SX-F Factory Edit,1.292,0:49.017,KTM/RED BULL/MOTOREX/WP/AKRAPOVIC/DUNLOP
3,41,Trey Canard,"Edmond, OK",Honda CRF 450,3.338,0:48.811,Team Honda HRC
4,14,Cole Seely,"Laguna Beach, CA",Honda CRF 450,17.021,0:49.589,Team Honda HRC
5,23,Weston Peick,"Menifee, CA",Yamaha YZ450F,18.641,0:48.864,JGR
6,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,19.962,0:49.700,RCH Soaring Eagle Jimmy Johns Suzuki Factory Racing
7,21,Jason Anderson,"Edgewood, NM",Husqvarna FC450,27.290,0:49.944,ROCKSTAR ENERGY/HUSQVARNA FACTORY RACING
8,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,29.282,0:49.848,Yoshimura Suzuki Factory Racing/Motorex/Dunlop/Renthal/Showa/Vortex/Renegade Rentals/Shorai/Seven/Hinson/Elf Fuel/RG3/GET/TwinAir/Matrix/N-Style/D.I.D./Excel/NGK/Mechanix Wear/Works Connection/Moto Tassinari
9,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,39.396,0:50.422,BTO Sport - KTM - WPS
10,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,50.533,0:51.155,Discount Tire Racing/TwoTwo Motorsports
11,46,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,55.338,0:50.819,JGR 
12,18,David Millsaps,"Murrieta, CA",Kawasaki KX 450F,19 Laps,0:51.250,Monster Energy Kawasaki
13,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,7.264,0:50.872,Smartop MotoConcepts Racing
14,75,Joshua Hill,"Yoncalla, OR",Yamaha YZ450F,10.476,0:51.551,CycleTrader.com Rock River YAMAHA Monster Energy
15,12,Jacob Weimer,"Wildomar, CA",Kawasaki KX 450F,11.729,0:50.027,Team Tedder Monster Energy Kawasaki
16,11,Kyle Chisholm,"Valrico, FL",Kawasaki KX 450F,26.473,0:51.467, 
17,27,Nicholas Wey,"Dewitt, MI",Kawasaki KX 450F,30.275,0:52.224,Mafia MotoCrew/PasionMX
18,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,39.175,0:49.829,RCH Soaring Eagle/Jimmy Johns/Suzuki Factory Racing
19,86,Zackery Freeberg,"Riverview, FL",Yamaha YZ450F,18 Laps,0:52.087,strikt yamaha/hollywood racing/maykers/bpm engines/enzo/dubya/yamalube/dunlop/rekluse/vp fuel/gytr/galfer
20,3,Eli Tomac,"Cortez, CO",Honda CRF 450,18.146,0:49.638,GEICO Honda
21,69,Ronnie Stewart,"Easton, PA",Suzuki RM-Z450,35.628,0:52.801,"DirtCandy Graphics, PRBC.com, Hellbound Racing, ISC Racers Tape, Fugoo, Never Summer Industries, Bel Ray, Yoshimura, Shift, Spy, 6D Helmets, RK Excel, KSR Wheels, Dunlop, Hinson, Works Connection"
22,92,Cade Clason,"Arcadia, OH",Honda CRF 450,14 Laps,0:54.080, 
