POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,41,Trey Canard,"Edmond, OK",Honda CRF 450,20 Laps,0:52.106,Team Honda HRC
2,5,Ryan Dungey,"Tallahassee, FL",KTM 450 SX-F Factory Edit,3.310,0:52.951,KTM/RED BULL/MOTOREX/WP/AKRAPOVIC/DUNLOP
3,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,7.844,0:52.706,Discount Tire
4,3,Eli Tomac,"Cortez, CO",Honda CRF 450,9.725,0:52.666,GEICO Honda
5,14,Cole Seely,"Laguna Beach, CA",Honda CRF 450,10.709,0:52.742,Team Honda HRC
6,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,14.074,0:53.366,Autotrader/Toyota/Yamaha
7,18,David Millsaps,"Murrieta, CA",Kawasaki KX 450F,26.869,0:53.836,Monster Energy Kawasaki
8,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,37.416,0:53.780,BTO Sports - KTM - WPS
9,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,37.416,0:53.094,Yoshimura Suzuki Factory Racing/Motorex/Dunlop/Renthal/Showa/Vortex/Renegade Rentals/Shorai/Seven/Hinson/Elf Fuel/RG3/GET/TwinAir/Matrix/N-Style/D.I.D./Excel/NGK/Mechanix Wear/Works Connection/Moto Tassinari
10,21,Jason Anderson,"Edgewood, NM",Husqvarna FC450,46.793,0:53.477,Rockstar Energy Husqvarna Factory Racing 
11,12,Jacob Weimer,"Wildomar, CA",Kawasaki KX 450F,48.192,0:54.830,Team Tedder
12,24,Brett Metcalfe,"Lake Elsinore, CA",Suzuki RM-Z450,19 Laps,0:55.154, 
13,11,Kyle Chisholm,"Valrico, FL",Kawasaki KX 450F,4.026,0:55.606, 
14,46,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,16.754,0:55.878,JGR
15,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,19.728,0:53.941,RCH Soaring Eagle/Jimmy Johns/Suzuki Factory Racing
16,45,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,19.728,0:54.951,SMARTOP MOTOCONCEPTS RACING
17,39,Fredrik Noren,"Moreno Valley, CA",Honda CRF 450,20.181,0:55.803,Motosport.com/GPI/Honda/Crossland Racing
18,199,Kyle Partridge,"Canyon Lake, CA",Honda CRF 450,18 Laps,0:55.993,"Rocky Mountain ATv/MC, One Industries, Spy, Tag, Dunlop, Alpinestar, Rekluse, Works Connection, Golfer, Acerbis, Proven, Driven"
19,58,Killian Rusk,"Temecula, CA",Yamaha YZ450F,1.636,0:57.337,"slater skin, blue buffalo. yamaha, rusk racing, axo, national hail and dent"
20,47,Martin Davalos,"Cairo, GA",Husqvarna FC450,33.705,0:55.440,Rockstar Energy Husqvarna Factory Racing
21,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,3 Laps,0:54.807,Discount Tire Racing/TwoTwo Motorsports
22,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,DNS,,RCH Soaring Eagle Jimmy Johns Suzuki Factory Racing
