POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,5,Ryan Dungey,"Tallahassee, FL",KTM 450 SX-F Factory Edit,20 Laps,1:06.544,KTM/RED BULL/MOTOREX/WP/AKRAPOVIC/DUNLOP
2,3,Eli Tomac,"Cortez, CO",Honda CRF 450,4.271,1:06.932,GEICO Honda
3,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,10.185,1:06.820,Yoshimura Suzuki Factory Racing/Motorex/Dunlop/Renthal/Showa/Vortex/Renegade Rentals/Shorai/Seven/Hinson/Elf Fuel/RG3/GET/TwinAir/Matrix/N-Style/D.I.D./Excel/NGK/Mechanix Wear/Works Connection/Moto Tassinari
4,14,Cole Seely,"Laguna Beach, CA",Honda CRF 450,17.780,1:06.506,Team Honda HRC
5,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,21.135,1:07.108,Discount Tire
6,41,Trey Canard,"Edmond, OK",Honda CRF 450,24.325,1:06.599,Team Honda HRC
7,21,Jason Anderson,"Edgewood, NM",Husqvarna FC450,28.269,1:07.869,ROCKSTAR ENERGY/HUSQVARNA FACTORY RACING
8,23,Weston Peick,"Menifee, CA",Yamaha YZ450F,29.817,1:06.692,JGR
9,18,David Millsaps,"Murrieta, CA",Kawasaki KX 450F,30.757,1:07.395,Monster Energy Kawasaki
10,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,31.134,1:06.361,RCH Soaring Eagle Jimmy Johns Suzuki Factory Racing
11,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,42.980,1:07.580,Discount Tire Racing/TwoTwo Motorsports
12,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,46.917,1:07.242,BTO Sports - KTM - WPS
13,11,Kyle Chisholm,"Valrico, FL",Kawasaki KX 450F,59.402,1:08.198,"Team Chiz, Kawasaki, Rickie Fowler, Westfall auto sales, Pretty REBELS"
14,46,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,1:18.925,1:07.581,JGR 
15,27,Nicholas Wey,"Dewitt, MI",Kawasaki KX 450F,19 Laps,1:10.570,Mafia MotoCrew/PasionMX
16,53,Jimmy Albertson,"Shawnee, OK",Yamaha YZ450F,3.919,1:10.548,Ama Energy Motorsport.com Yamaha 
17,42,Ben Lamay,"Austin, TX",Husqvarna FC450,38.097,1:10.004,Munn Racing Husqvarna/LBeardsleyCPA.com/Competitive Cleaning service/X Brand/Bell/Fly/
18,199,Kyle Partridge,"Lake Elsinore, CA",Honda CRF 450,18 Laps,1:10.245,rocky mountain atvmc
19,58,Killian Rusk,"Temecula, CA",Yamaha YZ450F,12.211,1:12.159,"Ruskracing, National hail and dent, yamaha, axo"
20,12,Jacob Weimer,"Wildomar, CA",Kawasaki KX 450F,13 Laps,1:08.100,Team Tedder Monster Energy Kawasaki
21,70,Nicholas Schmidt,"Riverside, CA",Suzuki RM-Z450,7 Laps,1:10.893,ProMotoFan.com/Fly Racing Privateer Journey/Team3br/dsc/magiksc 
22,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,5 Laps,1:07.596,Smartop MotoConcepts Racing
