POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,28 Laps,0:44.902,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,4.013,0:45.120,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,8.248,0:44.706,Rockstar Energy Husqvarna Factory Racing
4,23,Chase Sexton,"Clermont, FL",Honda CRF450R,12.539,0:45.135,Team Honda HRC
5,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,15.590,0:45.353,Monster Energy Yamaha Factory Racing
6,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,19.840,0:45.341,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
7,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,23.862,0:45.455,Rocky Mountain ATV MC- WPS- KTM
8,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,30.527,0:45.272,MONSTER ENERGY KAWASAKI
9,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,34.253,0:45.285,Rockstar Energy Husqvarna Factory Racing
10,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,38.003,0:45.591,Team Tedder / Monster Energy Racing
11,40,Vince Friese,"Menifee, CA",Honda CRF450R,40.269,0:45.922,Smartop BullFrog Honda
12,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,43.219,0:46.333,Rocky Mountain ATV/MC - KTM - WPS
13,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,27 Laps,0:45.939,"Muc-Off, Honda, Fly Racing"
14,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,12.337,0:45.574,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,20.981,0:46.765,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
16,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,43.187,0:46.959,Twisted Tea Suzuki
17,83,Alex Ray,"Milan, TN",Kawasaki KX450,26 Laps,0:47.335,SGB_Racing/Babbitts online Kawasaki/Maxxis /Oneal/HJC
18,85,Kevin Moranz,"Topeka, KS",KTM 450 SX-F,9.508,0:48.333,"Team TPJ/FLY Racing , Monarch Heavy Haul, Fitz Roofing, Gree, The Dirt Bike Depot, Letko Cycles, Karcher, EBC Breaks, DSC Construction, Bike Graphix, Mika Metals, FMF, Pirelli, FCR, FLO Motorsports, TZR, TLR Coatings, Moto Seat, Works Connection, Alpine"
19,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,15.499,0:48.101,"Team PR-MX, Deep South Kawasaki, Wossner pistons"
20,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,25 Laps,0:46.189,MotoConcepts
21,184,Scott Champion,"Fort Worth, TX",Yamaha YZ450F,24 Laps,0:48.021,Partzilla.com Yamaha
22,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,7 Laps,0:45.313,Monster Energy/Star Racing/Yamaha
