POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,27 Laps,0:47.465,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
2,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,1.511,0:47.079,MONSTER ENERGY KAWASAKI
3,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,19.337,0:48.270,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
4,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,21.245,0:47.700,MONSTER ENERGY KAWASAKI
5,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,22.766,0:47.834,Rockstar Energy Husqvarna Factory Racing
6,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,24.106,0:47.517,Monster Energy/Star Racing/Yamaha
7,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,25.639,0:48.334,Rockstar Energy Husqvarna Factory Racing
8,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,28.426,0:48.708,Rocky Mountain ATV MC- WPS- KTM
9,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,29.493,0:48.273,Monster Energy Yamaha Factory Racing
10,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,31.934,0:48.084,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
11,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,34.912,0:48.114,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
12,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,38.738,0:48.517,"Muc-Off, Honda, Fly Racing"
13,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,41.196,0:47.927,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
14,20,Broc Tickle,"Holly, MI",Honda CRF450R,47.635,0:48.663,Smartop Bullfrog spas Motoconcepts Honda
15,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,26 Laps,0:49.447,Team Tedder / Monster Energy Racing
16,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,2.918,0:49.597,Rocky Mountain ATV/MC - KTM - WPS
17,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,24.637,0:49.879,Smartop BullFrog Honda
18,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,33.570,0:50.447,Twisted tea HEP Suzuki
19,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,45.861,0:48.818,MotoConcepts
20,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,45.975,0:49.587,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
21,981,Austin Politelli,"Murrieta, CA",Honda CRF450R,25 Laps,0:49.436,"HRT Racing, California Coast Plumbers, Burke Mechanical, South Bound Honda"
22,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,24 Laps,0:50.311,Twisted Tea Suzuki
