POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,25 Laps,0:49.976,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,0.943,0:50.194,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
3,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,6.256,0:50.170,Rockstar Energy Husqvarna Factory Racing
4,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,6.679,0:50.022,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
5,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,17.137,0:50.242,MONSTER ENERGY KAWASAKI
6,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,26.517,0:50.603,Monster Energy Yamaha Factory Racing
7,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,29.414,0:50.330,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
8,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,36.629,0:50.276,Rockstar Energy Husqvarna Factory Racing
9,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,41.602,0:50.475,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
10,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,45.312,0:50.705,MONSTER ENERGY KAWASAKI
11,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,47.406,0:50.317,"Muc-Off, Honda, Fly Racing"
12,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,48.786,0:50.988,Rockstar Energy Husqvarna Factory Racing
13,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,49.289,0:50.566,Rocky Mountain ATV MC- WPS- KTM
14,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,24 Laps,0:51.033,MotoConcepts
15,40,Vince Friese,"Menifee, CA",Honda CRF450R,8.471,0:51.146,Smartop BullFrog Honda
16,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,21.590,0:50.898,Team Tedder / Monster Energy Racing
17,12,Shane Mcelrath,"Canyon Lake, CA",Honda CRF450R,23.373,0:51.410,Smart Top/Bullfrog Spas/Honda
18,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,23 Laps,0:50.851,Rocky Mountain ATV/MC - KTM - WPS
19,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,15.148,0:52.277,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
20,81,Justin Starling,"Deland, FL",KTM 450 SX-F,22 Laps,0:53.566,GeneralGrind&Machine / Team199 / JSR Motorsports
21,43,Fredrik Noren,"Indian Trail, NC",Kawasaki KX450,18 Laps,0:52.713,Ikthus/ Brittenum/Kawasaki
22,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,2 Laps,0:52.302,Monster Energy/Star Racing/Yamaha
