POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,14 Laps,1:35.068,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
2,23,Chase Sexton,"Clermont, FL",Honda CRF450R,7.982,1:35.895,Team Honda HRC
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,12.665,1:36.056,Rockstar Energy Husqvarna Factory Racing
4,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,14.629,1:36.529,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
5,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,20.070,1:36.018,MONSTER ENERGY KAWASAKI
6,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,22.499,1:36.597,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
7,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,25.364,1:36.779,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
8,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,29.296,1:37.000,Monster Energy Yamaha Factory Racing
9,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,51.097,1:37.251,Rockstar Energy Husqvarna Factory Racing
10,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,53.661,1:37.034,Rocky Mountain ATV MC- WPS- KTM
11,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,59.942,1:37.210,Monster Energy/Star Racing/Yamaha
12,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,1:03.797,1:38.300,Team Tedder / Monster Energy Racing
13,20,Broc Tickle,"Holly, MI",Honda CRF450R,1:06.029,1:39.943,Smartop Motoconcepts Honda
14,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,1:21.073,1:39.680,Twisted Tea Suzuki
15,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,13 Laps,1:40.650,System 3 Offroad/Tyler Bowers Racing/Kawasaki
16,84,Josh Hill,"Huntersville, NC",Yamaha YZ450F,4.270,1:40.787,"Monster Energy, Mountain Motorsports Yamaha"
17,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,47.747,1:43.160,"Team PR-MX, Deep South Kawasaki, Wossner pistons"
18,81,Justin Starling,"Deland, FL",KTM 450 SX-F,1:01.018,1:42.696,GeneralGrind&Machine / Team199 / JSR Motorsports
19,70,Henry Miller,"Rochester, MN",KTM 450 SX-F,1:33.717,1:44.899,"Auto owners insurance, J Meyers Insurance, Stussy Construction, FXR, K&R Racing, Owens Locker plant, Defy Graphics, Hoosier Tires, Stapes Suspension, Blud Lubricants, Firepwoer, EVS sports, 6D Helmets, Forma Boots, Odi, UFO plastics, Guts seats, Pro Circu"
20,184,Scott Champion,"Fort Worth, TX",Yamaha YZ450F,12 Laps,1:46.215,Partzilla.com Yamaha
21,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,DNS,,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
22,49,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,DNS,,Muc Off Honda Racing
