POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,28 Laps,0:44.519,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,1.015,0:44.051,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,20.076,0:44.881,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
4,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,22.281,0:44.922,MONSTER ENERGY KAWASAKI
5,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,24.399,0:44.852,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
6,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,29.005,0:45.051,"Muc-Off, Honda, Fly Racing"
7,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,30.390,0:45.068,Monster Energy/Star Racing/Yamaha
8,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,32.385,0:44.634,Monster Energy Yamaha Factory Racing
9,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,36.778,0:45.689,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
10,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,37.172,0:45.378,Rockstar Energy Husqvarna Factory Racing
11,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,41.265,0:45.754,Rocky Mountain ATV/MC-KTM_WPS
12,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,45.477,0:45.868,Rockstar Energy Husqvarna Factory Racing
13,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,48.863,0:45.223,MONSTER ENERGY KAWASAKI
14,23,Chase Sexton,"Clermont, FL",Honda CRF450R,27 Laps,0:45.347,Team Honda HRC
15,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,2.854,0:44.559,Rockstar Energy Husqvarna Factory Racing
16,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,6.879,0:45.789,Smartop BullFrog Honda
17,20,Broc Tickle,"Holly, MI",Honda CRF450R,8.539,0:46.227,Smartop Bullfrog spas Motoconcepts Honda
18,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,21.051,0:45.756,Team Tedder / Monster Energy Racing
19,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,26 Laps,0:47.128,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
20,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,25 Laps,0:48.249,Twisted Tea Suzuki
21,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,24 Laps,0:46.268,Twisted tea HEP Suzuki
22,83,Alex Ray,"Milan, TN",Kawasaki KX450,19 Laps,0:47.413,SGB_Racing/Babbitts online/Maxxis /Oneal
