POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,25 Laps,0:48.172,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,0.326,0:47.977,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
3,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,10.463,0:48.399,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
4,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,15.705,0:48.243,Monster Energy/Star Racing/Yamaha
5,23,Chase Sexton,"Clermont, FL",Honda CRF450R,17.099,0:48.229,Team Honda HRC
6,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,18.387,0:47.851,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
7,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,24.117,0:48.316,Rockstar Energy Husqvarna Factory Racing
8,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,26.831,0:48.562,Monster Energy Yamaha Factory Racing
9,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,44.487,0:49.099,Rockstar Energy Husqvarna Factory Racing
10,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,46.242,0:48.788,MONSTER ENERGY KAWASAKI
11,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,48.503,0:49.233,Rocky Mountain ATV MC- WPS- KTM
12,20,Broc Tickle,"Holly, MI",Honda CRF450R,49.183,0:50.064,Smartop Motoconcepts Honda
13,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,24 Laps,0:49.492,Twisted Tea Suzuki
14,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,24.920,0:48.903,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
15,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,35.789,0:51.735,System 3 Offroad/Tyler Bowers Racing/Kawasaki
16,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,23 Laps,0:51.176,SmartTop BullFrog Spas Motoconcepts Honda
17,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,7.090,0:52.040,"Team PR-MX, Deep South Kawasaki, Wossner pistons"
18,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,8.748,0:52.416,Twisted Tea Suzuki
19,81,Justin Starling,"Deland, FL",KTM 450 SX-F,10.681,0:52.542,GeneralGrind&Machine / Team199 / JSR Motorsports
20,70,Henry Miller,"Rochester, MN",KTM 450 SX-F,15.148,0:51.743,"Auto owners insurance, J Meyers Insurance, Stussy Construction, FXR, K&R Racing, Owens Locker plant, Defy Graphics, Hoosier Tires, Stapes Suspension, Blud Lubricants, Firepwoer, EVS sports, 6D Helmets, Forma Boots, Odi, UFO plastics, Guts seats, Pro Circu"
21,43,Fredrik Noren,"Indian Trail, NC",Kawasaki KX450,22 Laps,0:51.501,Ikthus CBD/ Brittenum/Kawasaki
22,519,Joshua Cartwright,"Tallahassee, FL",Kawasaki KX450,21 Laps,0:52.616,Team PR-MX / Wossner / Deep South Kawasaki
