POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,29 Laps,0:42.557,MONSTER ENERGY KAWASAKI
2,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ250F,4.976,0:43.079,Monster Energy/Star Racing/Yamaha
3,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,9.002,0:43.006,"Muc-Off, Honda, Fly Racing"
4,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,10.305,0:43.265,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
5,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,13.157,0:43.146,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
6,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,16.257,0:43.098,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
7,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,24.019,0:43.336,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
8,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,24.343,0:43.718,Rockstar Energy Husqvarna Factory Racing
9,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,25.708,0:43.095,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
10,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,26.130,0:42.787,Rockstar Energy Husqvarna Factory Racing
11,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,28.437,0:43.902,Rockstar Energy Husqvarna Factory Racing
12,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,37.351,0:42.272,MONSTER ENERGY KAWASAKI
13,20,Broc Tickle,"Holly, MI",Honda CRF450R,45.119,0:44.215,Smartop Bullfrog spas Motoconcepts Honda
14,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,28 Laps,0:44.610,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
15,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,7.453,0:43.996,Smartop BullFrog Honda
16,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,26.553,0:43.563,Monster Energy Yamaha Factory Racing
17,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,36.036,0:45.115,Twisted tea HEP Suzuki
18,83,Alex Ray,"Milan, TN",Kawasaki KX450,26 Laps,0:45.922,SGB_Racing/Babbitts online/Maxxis /Oneal
19,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,23 Laps,0:44.024,MotoConcepts
20,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,20 Laps,0:43.955,Team Tedder / Monster Energy Racing
21,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,7 Laps,0:44.027,Rocky Mountain ATV/MC-KTM_WPS
22,23,Chase Sexton,"Clermont, FL",Honda CRF450R,6 Laps,0:41.787,Team Honda HRC
