POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,26 Laps,0:47.487,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
2,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,0.888,0:48.007,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,18.820,0:48.288,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
4,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,21.030,0:48.401,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
5,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,23.842,0:48.067,MONSTER ENERGY KAWASAKI
6,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,25.876,0:48.880,Rockstar Energy Husqvarna Factory Racing
7,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,27.015,0:48.112,MONSTER ENERGY KAWASAKI
8,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,27.425,0:48.600,Monster Energy/Star Racing/Yamaha
9,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,33.477,0:48.854,Rocky Mountain ATV MC- WPS- KTM
10,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,37.573,0:48.464,Rockstar Energy Husqvarna Factory Racing
11,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,38.583,0:48.390,Monster Energy Yamaha Factory Racing
12,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,25 Laps,0:49.240,"Muc-Off, Honda, Fly Racing"
13,20,Broc Tickle,"Holly, MI",Honda CRF450R,1.240,0:49.944,Smartop Bullfrog spas Motoconcepts Honda
14,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,4.234,0:49.401,Smartop BullFrog Honda
15,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,7.017,0:49.390,Team Tedder / Monster Energy Racing
16,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,40.652,0:49.720,Rocky Mountain ATV/MC - KTM - WPS
17,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,24 Laps,0:49.959,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
18,805,Carlen Gardner,"Paso Robles, CA",Honda CRF450R,6.230,0:51.071,"TeamBWR, L-TEC, Fly Racing, SSI"
19,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,19.656,0:47.664,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
20,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,20.769,0:50.642,Twisted Tea Suzuki
21,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,35.250,0:51.125,"Team PR-MX, Pelletier Kawasaki, Wossner pistons"
22,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,16 Laps,0:50.082,MotoConcepts
