POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,12 Laps,1:40.285,MONSTER ENERGY KAWASAKI
2,23,Chase Sexton,"Clermont, FL",Honda CRF450R,6.669,1:40.577,Team Honda HRC
3,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,16.864,1:41.282,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,22.043,1:41.711,Rockstar Energy Husqvarna Factory Racing
5,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,23.883,1:41.048,Monster Energy/Star Racing/Yamaha
6,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,24.868,1:40.058,Monster Energy Yamaha Factory Racing
7,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,26.887,1:42.237,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
8,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,28.643,1:41.961,Rocky Mountain ATV MC- WPS- KTM
9,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,29.199,1:41.387,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
10,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,33.534,1:42.314,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
11,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,52.002,1:41.701,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
12,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,55.665,1:43.208,Team Tedder / Monster Energy Racing
13,49,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,58.153,1:44.628,Muc Off Honda Racing
14,20,Broc Tickle,"Holly, MI",Honda CRF450R,58.596,1:44.218,Smartop Motoconcepts Honda
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,1:39.948,1:44.687,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
16,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,11 Laps,1:46.641,System 3 Offroad/Tyler Bowers Racing/Kawasaki
17,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,11.620,1:48.792,"Team PR-MX, Deep South Kawasaki, Wossner pistons"
18,43,Fredrik Noren,"Indian Trail, NC",Kawasaki KX450,16.746,1:49.706,Ikthus CBD/ Brittenum/Kawasaki
19,85,Kevin Moranz,"Topeka, KS",KTM 450 SX-F,19.314,1:49.881,"Team TPJ/FLY Racing , Monarch Heavy Haul, Fitz Roofing, Gree, The Dirt Bike Depot, Letko Cycles, Karcher, EBC Breaks, DSC Construction, Bike Graphix, Mika Metals, FMF, Pirelli, FCR, FLO Motorsports, TZR, TLR Coatings, Moto Seat, Works Connection, Alpine"
20,83,Alex Ray,"Milan, TN",Kawasaki KX450,1:44.505,1:50.304,SGB_Racing/Babbitts online Kawasaki/Maxxis /Oneal/HJC
21,40,Vince Friese,"Menifee, CA",Honda CRF450R,1 Lap,2:32.578,Smartop BullFrog Honda
22,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,DNF,,Twisted Tea Suzuki
