POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1E,Marvin Musquin,"Corona, CA",KTM 250 SX-F,15 Laps,1:07.522,RED BULL/KTM/MOTOREX/AKRAPOVIC/DUNLOP
2,34,Malcolm Stewart,"Haines City, FL",Honda CRF 250,11.824,1:08.497,GEICO Honda
3,38,Matthew Bisceglia,"Weatherford, TX",Honda CRF 250,16.743,1:09.480,GEICO Honda
4,157,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,20.051,1:08.810,Yamalube/Star Racing/Yamaha 
5,31,Alex Martin,"Millville, MN",Yamaha YZ250F,33.640,1:09.766,CycleTrader.com Rock River YAMAHA
6,16,Zach Osborne,"Chesterfield, SC",Husqvarna FC250,36.619,1:09.759,ROCKSTAR ENERGY/HUSQVARNA FACTORY RACING
7,80,Rj Hampshire,"Hudson, FL",Honda CRF 250,40.991,1:09.384,GEICO Honda 
8,71,Cole Martinez,"Rimrock, AZ",Yamaha YZ250F,52.830,1:12.529,STRIKT SLATON YAMAHA/YP.COM/SEI
9,40,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,58.772,1:10.108,Troy Lee Designs/ Lucas Oil/ Red Bull/ KTM
10,55,Kyle Peters,"Greensboro, NC",Honda CRF 250,1:06.020,1:13.237,Crossland Motorsports
11,52,Mitchell Oldenburg,"Alvord, TX",Yamaha YZ250F,14 Laps,1:12.761,"Arma Energy, Motorsport.com, Yamaha"
12,44,Zachary Bell,"Cairo, GA",Husqvarna FC250,6.327,1:11.207,ROCKSTAR ENERGY/HUSQVARNA FACTORY RACING
13,73,Gannon Audette,"Tallahassee, FL",Kawasaki KX 250F,8.724,1:14.090, 
14,343,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,16.216,1:14.209,CycleTrader.com Rock River YAMAHA
15,64,Aj Catanzaro,"Portland, CT",Suzuki RM-Z250,20.260,1:14.261,JMR RACING/Suzuki-Yoshimura/Pickett Weaponry/Phoenix Tube/Arai Helmets/Tirestickers.com
16,65,Scott Champion,"Wildomar, CA",Yamaha YZ250F,28.656,1:14.516,STRIKT SLATON YAMAHA/YP.COM/SEI
17,77,Justin Starling,"Deland, FL",Honda CRF 250,1:00.930,1:14.685, 
18,100,Joshua Hansen,"Elbert, CO",Kawasaki KX 250F,13 Laps,1:12.590,Team 100/Motosport.com/Monster Energy Kawasaki/Fox/Supertech/Donnie Hansen MX Academy
19,62,Anthony Rodriguez,"Cairo, GA",Yamaha YZ250F,8 Laps,1:09.928,Yamalube/Star Racing/Yamaha 
20,78,Preston Mull,"Livingston, CA",Yamaha YZ250F,7 Laps,1:14.160,ALLIANCE RACING BRAAP SHOP YAMAHA
21,337,Nick Desiderio,"New Vernon, NJ",Yamaha YZ250F,5 Laps,1:16.624,CycleTrader.com Rock River YAMAHA
22,32,Justin Hill,"Yoncalla, OR",KTM 250 SX-F,DNS,,KTM/RED BULL/MOTOREX/WP/AKRAPOVIC/DUNLOP/FOX
